"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13"
"analysis";1;0,689;0,38;0;1;0,204;1;0,983;1;1;1;1;1
"apply";1;1;0,035;0,149;1;0;1;1;1;1;1;1;1
"answer";1;1;0,38;1;1;1;1;1;0,689;1;0,211;0;1
"involve";1;0,308;0,869;1;1;0;1;0,003;1;1;0,723;1;1
"interest";0,922;0;0,38;0,034;1;0,047;1;0,983;1;1;1;1;1
"explore";1;0,308;0,417;1;0,023;1;0;1;1;1;1;0,09;1
"engage";0,959;1;1;1;1;0,229;0;1;0;1;1;0,018;1
"critical";0,598;0,882;0,45;0;1;1;1;1;1;1;1;0,882;1
"subject";1;1;0;0,237;1;1;0,761;1;1;0,185;1;1;1
"material";0,846;0,603;1;1;1;0,032;0,004;0,095;1;1;1;0,603;1
"activity";1;0,014;0,825;0,034;1;0,577;0,007;1;1;0,631;1;1;1
"object";1;1;1;0;0,166;1;1;1;0,09;1;1;0,731;1
"form";1;1;0,003;0,674;1;1;0,139;1;0,064;0,583;1;1;1
"scholarly";1;1;0,014;0,237;0,01;1;0,761;0,867;0,193;1;1;1;1
"project";1;1;0,592;0,471;0,419;0,015;1;0;1;1;1;0,474;1
"world";0,767;0,035;0,243;1;1;1;1;0,001;0,168;1;1;0,517;1
"literature";1;1;0;0,016;1;1;1;1;1;1;1;1;1
"communication";1;0,432;0,183;1;1;1;0;0,741;1;0,352;1;1;1
"set";1;0,432;0,183;0,878;1;0,083;1;0,005;1;1;1;0,021;1
"interdisciplinary";1;1;0,005;0,147;1;0,001;0,612;1;1;0,352;1;1;1
"resource";1;0,103;1;1;1;0,009;1;1;1;0,736;1;0,39;0,001
"learn";0,726;0,474;0,212;0,174;0;1;1;0,784;1;1;1;1;1
"change";1;0,674;1;1;0,204;1;1;0,095;1;1;1;0;1
"ask";1;1;1;0,878;1;1;1;1;1;1;0,01;0;1
"creation";1;0,001;1;0,702;1;0,24;0,462;1;1;0,622;1;1;0,82
"concern";0,035;0,978;0,183;1;1;1;1;1;0,978;1;0;1;1
"academic";1;0,882;0,45;1;1;0,006;1;0,002;1;0,072;1;1;1
"process";1;1;0,003;1;0,323;1;0,512;0;1;1;1;0,882;1
"language";1;0,103;0;0,121;1;1;1;0,697;1;1;1;1;1
"find";1;1;1;1;1;1;1;0,652;0;1;1;1;1
"base";1;1;0,998;0,762;1;0,006;1;1;1;0;1;1;1
"area";1;0,674;0;1;1;0,001;1;1;0,674;1;1;1;1
"share";1;0;1;0,878;1;0,083;1;1;1;1;1;0,021;1
"relate";1;0,123;1;0,422;1;0;1;1;1;1;1;1;1
"open";0,641;1;0,497;0,821;1;0,309;0,006;0,697;1;1;1;0,103;1
"part";1;1;1;1;0;1;1;0;0,024;1;1;1;1
"focus";1;1;0,947;0,284;1;1;1;1;0,009;0,001;1;0,31;1
"bring";1;0,012;1;0,878;1;1;0,66;0,003;0,505;1;1;1;1
"development";1;0,002;1;1;1;1;1;1;1;0,104;1;1;0,041
"technique";0,712;1;0,999;0,103;1;1;0,33;1;0,917;1;1;0,228;0,576
"support";1;0,272;0,013;0,01;1;0,685;1;1;1;1;1;1;1
"collaborative";0;1;0,839;1;1;0;0,091;0,515;1;1;1;1;1
"analyze";1;0;0,894;1;0,262;1;0,002;1;1;1;1;1;1
"theory";1;1;0,782;1;0,017;0;1;0,095;1;1;1;0,674;1
"student";1;0;1;0,4;1;1;0,723;1;0,138;1;0,875;1;1
"problem";0;0,505;0,602;0,878;0,747;1;1;1;1;1;1;1;1
"present";0,946;0,448;0,54;1;1;1;1;0,034;0,448;0,737;0,78;0,448;1
"umbrella";1;0;1;0,878;1;1;1;0;1;0,808;1;1;1
"time";1;0,001;1;1;1;1;1;0,33;0;1;1;1;1
"public";1;0;1;1;1;0,583;0,845;1;0,032;1;1;0,674;1
"network";1;0;1;0,731;1;1;0,013;0,935;1;1;1;1;1
"enhance";1;1;0,022;1;0,022;1;0,001;1;0,845;1;1;1;1
"challenge";1;1;0,006;1;0,878;1;1;0;1;1;1;1;1
"write";1;1;1;0,342;0;1;1;0,003;0,505;1;0,828;1;1
"researcher";1;0,917;0,291;0,103;1;0,847;0,045;1;0,917;1;1;0,917;1
"production";1;0,007;1;0,286;1;1;1;1;0,448;0,737;0,142;1;1
"kind";1;0,505;0,602;0,001;1;1;1;0,003;1;1;1;0,505;1
"idea";1;1;0,54;0,059;0,7;1;1;0,286;0,007;0,737;1;1;1
"experience";0,892;0,005;0,098;1;0,082;1;0,12;1;1;1;1;1;1
"enable";1;1;0,782;1;1;0,149;0,001;1;1;1;0,266;1;1
"age";1;1;0,352;1;0;0,913;1;1;0,032;1;1;0,032;1
"often";0,946;1;0,54;1;1;0,06;0,001;0,002;1;1;1;1;1
"emerge";1;1;0,009;1;0,65;1;1;0,935;1;0,002;1;1;1
"design";1;1;1;0,185;1;0;1;0,201;0,335;1;1;1;1
"creative";0,574;0,768;0,846;0,045;1;0,7;0,891;0,611;1;1;1;0,768;1
"content";1;0,335;1;0,654;0,063;0,001;1;1;1;1;0,675;1;1
"collaboration";1;1;1;1;0,545;0,226;0;1;1;1;1;0,28;1
"technological";1;0,065;0,009;1;1;1;0,001;0,935;0,391;1;1;1;1
"read";1;1;0,352;0,017;0;1;1;1;1;1;0,619;0,984;1
"print";0,339;1;1;0,753;0,192;1;1;0,013;0,498;1;1;0,498;1
"perspective";1;1;0,098;0,731;1;0,324;1;1;1;1;0;1;1
"opportunity";1;0,505;0,602;1;0,747;1;0,66;1;0,505;1;0,171;0;1
"life";1;0,133;0,846;0;0,372;1;1;1;1;1;1;0,768;1
"impact";1;1;0,126;0;1;1;1;1;1;1;1;1;1
"access";0,892;0,005;1;1;0,65;1;1;1;1;1;1;0,391;0,828
"view";1;0,335;0,073;0,185;1;1;1;0,878;0,335;1;1;1;1
"order";1;1;0;1;1;1;1;1;0,448;1;1;0,086;1
"mode";1;1;1;1;1;1;0;0,817;1;0,012;1;0,28;1
"environment";0,836;0,335;1;0,028;1;0,001;1;1;1;1;1;1;1
"communicate";0;0,065;1;1;1;1;1;0,935;1;1;1;1;1
"broadly";1;1;0,999;0;0,489;1;1;0,752;0,917;1;1;1;0,576
"seek";1;1;0,291;1;1;1;0;0,752;1;1;1;0,228;1
"result";0,001;0,768;0,846;1;1;0,7;1;1;1;1;1;0,768;1
"online";0,892;0,065;0,477;0,234;0,002;1;1;0,935;1;1;1;1;1
"interpretation";1;0,228;1;1;1;1;1;0,006;1;1;0,56;0,001;1
"digitally";1;1;1;1;0;0,776;0,971;0,684;0,013;1;1;1;1
"century";1;0,396;1;0,002;1;1;1;0,282;0,396;1;1;1;1
"wide";1;0,917;0,035;0,494;0,489;1;1;0,006;0,228;1;1;1;1
"source";1;0,335;0,414;1;1;1;1;1;1;1;0;0,047;1
"philosophy";1;1;0;1;1;1;1;1;1;1;1;1;1
"pattern";1;0,133;0,012;1;1;1;1;0,611;0;1;1;1;1
"offer";1;0,178;1;1;1;1;0,029;0,684;0,845;1;1;0;1
"nature";1;1;0,002;0,103;1;0,18;1;0,752;0,917;1;1;0,917;1
"mind";1;1;0;1;1;0,975;1;0,201;1;1;1;1;1
"electronic";1;0,021;0,002;0,103;1;1;1;1;0,917;1;1;1;1
"combine";1;1;1;0,028;1;0;1;1;1;1;1;1;1
"year";1;1;1;0,413;1;1;1;0;0,178;1;1;0,845;1
"space";1;0;1;0,141;1;1;1;0,01;1;1;1;0,984;1
"software";1;0,013;1;1;1;0,776;0;0,684;1;1;1;0,845;1
"simply";1;0,228;0,291;1;0,489;0,847;1;0,127;0,228;1;1;1;1
"publish";1;0,047;0,414;1;1;1;1;0,201;0,335;1;1;0,335;1
"provide";1;0,032;0;1;1;0,913;1;0,817;1;1;1;1;1
"place";1;1;0,999;0,494;1;1;1;0;1;1;1;1;1
"modern";1;1;0,006;1;1;0,001;0,462;1;1;1;0,675;1;1
"innovative";0,004;1;1;1;1;0,847;1;1;0,917;0,081;1;0,917;0,576
"expand";1;0,228;0,291;1;0,034;0,847;1;0,752;0,917;1;0,56;1;1
"evolve";1;1;1;0,185;1;1;1;0,878;1;0;1;0,335;1
"describe";1;0,28;0,352;1;1;1;1;0;1;0,515;1;0,984;1
"born";1;0,917;1;0;0,034;1;1;0,752;0,228;1;1;1;1
"transform";1;0,28;1;1;1;1;1;0,817;0,984;1;0,002;0,984;0,663
"topic";1;1;0,035;0,494;1;0,013;0,33;1;1;0,439;1;1;1
"society";1;0,594;0,667;0,863;1;0,533;1;1;1;1;0,303;0,06;0,933
"record";1;1;0;1;1;0,776;0,971;1;1;1;1;0,178;1
"produce";1;0,133;1;0,045;1;0,101;1;1;0,133;1;1;1;1
"potential";1;1;0,926;0,413;1;0,007;0,971;1;0,845;1;1;0,013;1
"pedagogy";1;0,396;0,457;1;1;1;0,493;1;1;0,586;1;1;0,094
"literary";1;1;0,926;0;1;1;1;1;1;1;1;1;1
"level";1;1;0,006;0,963;1;0,619;0,804;0,534;1;0,912;1;1;1
"large";1;0,768;0,846;1;0,014;0,7;1;1;0,007;1;1;1;1
"interaction";1;1;0,232;0,071;0,432;0,776;0,971;0,684;0,845;1;1;1;1
"future";1;1;0,76;0,963;1;1;0;1;1;1;1;1;1
"english";1;1;0;0;1;1;1;1;1;1;1;1;1
"engagement";0,645;1;0,232;1;1;0,776;1;0,684;1;0,363;0,499;0,178;1
"dissemination";1;1;1;1;1;0,004;0,891;1;1;1;1;0;1
"condition";1;0;0,035;0,494;1;1;1;1;1;1;0,56;1;1
"web";0;0,021;1;0,494;1;0,847;0,33;1;1;1;1;1;1
"visualization";1;0,228;0,999;0,494;1;0,013;1;0,752;0,917;1;1;0,917;1
"variety";1;1;0;1;1;1;1;1;0,684;0,019;1;1;1
"specific";0,001;1;0,846;1;1;0,101;1;1;1;1;0,435;0,133;1
"sense";1;1;0,76;1;0;1;1;0;0,684;1;1;1;1
"realm";1;1;0,178;0,333;0,372;0,101;1;1;0,768;1;1;1;1
"participate";1;0,013;0,022;1;1;1;1;1;0,013;1;0,499;1;1
"machine";0,02;1;0,003;0,013;1;1;1;1;1;1;1;1;1
"increase";1;0,684;0,76;0,026;1;0,619;0,151;1;1;0,912;1;1;1
"heritage";1;0,684;1;0;1;1;1;1;0,684;1;1;0,684;1
"exploration";1;0,684;0,76;1;0,312;1;1;1;1;0,001;0,37;1;1
"day";1;1;1;1;0,312;1;1;0,534;0,003;1;1;0,003;1
"context";1;1;1;1;0,372;1;1;0,611;0,133;0,289;0,435;0,133;1
"broad";1;1;1;0,01;1;1;1;0,752;1;1;1;0;1
"attempt";0,339;0,498;0,566;0,122;1;1;1;1;1;0,705;1;1;0,82
"aspect";1;0,917;1;1;1;0,847;0;1;0,917;1;1;0,228;1
"archive";1;0,133;0,846;1;1;0,7;0,207;0,611;0,768;1;1;1;1
"analog";1;0;1;1;0,489;1;0,33;1;0,228;1;1;1;1
"technical";1;0,003;1;0,256;0,008;1;0,804;0,534;1;1;1;1;1
"represent";0,257;0,396;1;1;1;1;1;0,282;0,016;1;1;1;0,694
"relationship";1;0,178;0,022;0,071;1;1;1;1;0,845;0,363;1;1;1
"practitioner";1;0,845;0,022;1;1;0,776;0,029;0,684;0,845;1;1;0,845;1
"power";1;0,684;0;1;1;0,619;0,804;1;1;1;1;0,684;1
"point";1;0,06;1;1;1;0,533;1;1;0;0,814;1;1;1
"investigate";0;0,768;1;1;1;1;0,891;1;1;1;1;0,768;1
"individual";1;0,06;0,667;0,185;1;1;0,103;1;0,594;1;1;1;1
"incorporate";1;1;0,76;0,963;1;1;0,804;1;0,093;0,019;0,37;1;1
"important";1;1;0,003;1;0,252;0,533;1;0,453;0,06;1;1;1;1
"image";0,645;0;1;0,005;1;1;1;0,684;1;1;1;1;1
"historian";1;0,185;1;1;0,041;1;0,25;0,116;1;1;1;1;1
"expression";0,02;0,001;1;1;1;1;0,709;0,453;0,594;1;1;1;1
"encompass";0,645;1;0,926;0,413;1;1;0,971;0,684;0,845;1;1;0,845;0,488
"audience";1;0,133;0,178;1;1;1;1;0,067;0,133;1;1;0,133;1
"advance";0,176;0,29;0,342;0,495;1;1;0,374;1;1;1;1;1;1
"value";1;1;0,667;0;0,252;1;1;1;0,06;1;1;1;1
"role";1;1;0,566;0,122;0,192;1;0,605;0,369;1;0,705;1;1;1
"program";1;0,498;1;1;0,192;0,023;0,605;0,369;0,498;1;1;1;1
"preservation";1;0,684;1;0,963;1;0,069;0;1;1;1;0,37;1;1
"possibility";1;0,684;1;0,256;1;0,619;0,151;1;1;1;1;0,093;1
"past";0,257;0,016;1;1;1;1;0,493;1;1;1;0,17;1;0,694
"long";0,574;0,768;0,846;0,045;1;0,7;0,891;0,611;0,768;1;1;1;1
"limit";1;1;0;1;1;1;0,709;1;0,594;0,814;1;1;1
"issue";1;0,06;0,667;0,013;1;0,533;1;1;0,594;1;1;1;1
"interpret";1;0,768;0,846;1;1;1;1;0,611;0,133;1;1;0;1
"internet";0,574;0;0,846;1;1;0,101;0,891;1;1;1;1;1;1
"inform";0,176;1;1;1;0,083;1;1;1;0,29;0,025;1;1;1
"increasingly";1;1;0,086;0,863;0,004;1;1;0,453;0,594;1;0,303;1;1
"great";1;1;0,01;1;1;1;1;0,197;0,29;1;0,109;1;1
"facilitate";1;1;1;0,863;1;0,001;0,004;1;1;0,814;1;1;1
"exist";1;1;0,846;0,002;0,014;1;0,891;1;1;1;1;0,768;1
"examine";1;0,684;0,76;0,026;1;0;1;1;1;1;1;1;1
"education";1;0,396;1;1;1;1;1;1;1;0;1;0,396;1
"current";1;1;0,086;0,013;0,004;1;1;0,453;1;1;1;1;1
"cover";1;0,498;0,566;0,122;1;0,441;1;1;1;0,1;1;1;1
"corpus";0,055;1;0,178;0,045;1;1;1;1;1;1;1;0,007;1
"contribute";0,499;0,684;0,128;0,256;0,312;0,619;1;0,534;1;1;1;1;1
"connect";1;0,29;1;0,032;1;1;1;0,197;0,29;1;1;1;1
"collection";1;0;0,667;1;1;1;1;0,453;1;1;1;0,594;1
"collaborate";1;0;1;1;1;1;1;1;1;1;1;0,684;1
"call";1;0,768;1;1;0;1;1;1;1;1;0,435;1;1
"big";1;0,06;1;1;1;1;1;0,026;0;1;1;1;1
"add";1;0,133;1;1;1;1;1;0;0,768;1;0,435;1;1
"user";1;0,016;0,457;0,63;0,135;1;1;1;0,396;1;1;1;1
"put";1;1;0,128;1;0,312;1;1;1;0;1;1;1;1
"pursuit";1;1;0;1;1;1;1;1;1;0,155;0,303;0,594;1
"purpose";0,421;1;0,667;0,013;1;1;1;1;0,001;1;1;1;1
"publication";1;0,06;1;0,863;1;1;0,709;0,453;1;0,155;1;0,594;1
"presentation";0,499;0,684;1;1;1;0,069;1;1;1;0;1;1;1
"play";1;0,684;0,76;0,256;0;1;0,804;0,534;1;1;1;1;1
"model";0,176;1;0,342;0,495;1;1;1;1;1;1;0,109;1;0,553
"mine";1;0,06;0,003;0,863;1;1;1;1;0,594;1;0,303;1;1
"methodological";1;0,093;1;0,256;0,312;1;1;0,001;1;1;1;1;1
"meet";1;0,498;1;0,753;1;1;0,605;0;1;1;1;0,498;1
"investigation";1;1;1;0,63;1;1;1;0,282;1;0,586;1;0,396;0,094
"intersect";0;1;1;0,863;1;0,533;1;1;1;0,814;1;1;1
"insight";0,035;0,684;0,006;1;1;1;0,804;0,534;0,684;1;1;1;1
"http";1;1;1;1;1;1;1;0,534;1;0,912;0;1;1
"give";1;1;0,086;0,185;1;0,533;1;1;1;1;1;0,001;1
"game";1;1;0,566;0;1;1;1;1;0,498;1;1;1;1
"excite";0,004;0,396;0,457;1;1;1;1;1;0,396;1;1;0,396;1
"encourage";1;1;0,76;0,256;1;0;1;1;1;1;1;1;1
"embrace";1;0,594;1;0,863;1;1;0,103;0,453;0,06;1;1;0,594;1
"disseminate";1;1;1;1;1;0;0,804;0,534;0,684;1;1;0,093;1
"contemporary";1;1;0,226;0,35;1;1;1;1;0,185;0,317;1;1;1
"case";1;1;1;0,63;1;0,346;1;0,005;0,396;0,586;1;1;1
"boundary";1;0,498;0,566;0,753;0,192;1;0,605;0,013;1;1;1;1;1
"book";1;1;1;0;1;1;1;1;1;1;1;1;1
"artifact";1;0,498;0,001;0,122;1;1;1;1;0,498;1;1;1;1
"analyse";0;1;1;0,026;1;1;1;1;1;1;1;0,093;1
"address";0;1;0,667;1;1;0,533;0,103;1;1;1;1;1;1
"act";1;0,594;0,667;0,863;0,252;1;1;1;0,06;1;1;0,594;0,933
"word";1;0,016;1;0,07;0,135;1;1;1;0,396;1;1;1;1
"type";0,01;1;0,051;1;1;0,441;1;1;0,498;1;1;1;0,82
"traditionally";1;1;0;0,185;1;0,533;1;1;1;1;1;0,594;1
"today";1;0;0,026;1;1;1;1;1;1;1;1;0,396;1
"theoretical";1;1;1;0,122;0,001;1;0,605;0,369;0,498;1;1;1;1
"system";1;1;0;1;1;0,441;1;1;1;1;0,236;1;1
"structure";0,004;0,396;1;0,07;0,135;1;1;1;1;1;1;1;1
"simple";1;0,594;1;1;1;0,533;1;0,453;1;1;0,303;0;1
"representation";1;1;1;1;1;1;0,493;0;0,396;0,586;1;1;1
"range";0,176;0,006;1;0,495;1;1;1;1;0,29;1;1;1;1
"pursue";1;1;0,566;1;1;0,023;1;1;1;1;0,003;0,498;0,82
"press";1;1;0,226;1;1;0,154;1;1;0,185;0,317;1;1;1
"prefer";1;1;0,086;0;1;1;0,709;1;1;1;1;1;0,933
"praxis";0,176;1;1;0,495;1;1;1;0,197;0,006;1;1;1;1
"practical";0,257;0,396;0,457;1;0,135;0,346;1;1;0,396;1;1;1;1
"platform";0,257;0,396;0,457;0,07;1;1;1;1;1;0,586;1;1;1
"physical";1;0,016;0,457;1;1;1;0,493;0,282;0,396;1;1;1;1
"paradigm";0,339;1;1;0,005;1;1;1;1;1;0,705;0,236;1;0,82
"mediate";1;1;0,226;1;1;1;0,25;1;0,185;1;1;1;0,399
"improve";1;1;1;1;0,252;1;1;1;1;1;1;0;1
"implication";1;0;1;1;0,001;1;1;1;1;1;1;1;1
"identify";1;1;1;1;1;1;0,605;0,369;0;1;1;1;1
"historical";1;1;0,566;0,122;1;1;0,605;1;1;1;0,003;0,498;1
"global";1;1;0,226;0,01;1;1;1;1;1;1;1;1;0,399
"general";0,02;0,594;0,667;1;1;0,533;1;0,453;0,06;1;1;1;1
"full";1;1;0;1;0,192;1;1;0,369;1;1;1;1;1
"force";1;0,034;0,566;1;1;0,441;1;0,369;0,034;1;1;1;1
"extend";0,01;1;0,001;0,753;1;1;1;1;1;0,705;1;1;1
"document";1;0,594;0,667;0,185;1;1;0,709;1;0,594;0,155;1;1;1
"academy";1;1;1;0;1;1;1;1;0;1;1;1;1
"ability";1;0,498;0,001;0,122;1;1;1;1;1;1;1;1;0,82
"utilize";0,339;1;0,566;1;1;0,441;0,605;0,369;1;0,705;1;0,498;1
"unique";1;1;1;0,495;1;1;0,013;1;0,29;1;0,109;1;1
"undertake";0,339;0,498;1;0,753;0,192;0,441;1;1;1;0,705;1;0,498;1
"ultimately";1;1;0,051;1;1;1;0,063;0;1;1;1;1;1
"turn";1;0,396;0,457;0,63;1;1;1;1;0,016;1;0,17;1;1
"teacher";1;0;1;0,495;1;1;1;1;1;1;1;1;1
"task";1;0,016;0,026;1;1;1;1;0,005;1;1;1;1;1
"start";1;1;1;0;1;1;1;1;1;1;1;1;1
"separate";1;0;1;1;0,192;1;1;0,369;0,498;1;1;1;1
"remain";1;1;1;0,753;1;1;1;0;1;1;1;1;1
"reflection";1;0;1;0,495;1;1;1;1;0,29;1;1;1;1
"reflect";1;1;0,566;0,122;1;1;1;1;0,498;1;0,236;0,034;1
"necessarily";1;1;1;1;1;0,441;0,063;1;0,498;0,705;0,236;0,498;1
"music";1;1;0;1;1;1;1;1;0,396;1;1;1;1
"move";1;1;0,342;0,495;1;1;1;0,197;0,29;1;1;0,29;1
"moment";1;0,185;1;1;0,041;1;1;1;1;1;0,057;0,185;1
"matter";1;0,29;0,01;1;1;1;1;1;0,006;1;1;1;1
"link";1;0,034;1;0,005;1;1;0,605;1;1;1;0,236;1;1
"lead";1;1;0,457;0,63;1;1;1;1;1;1;0,17;0;1
"intellectual";0,339;1;1;0;1;1;1;1;1;1;1;0,498;0,82
"integrate";0,339;1;1;1;0,192;0,441;0,605;0;1;1;1;1;1
"institution";1;1;0,051;0,005;1;1;1;0,369;0,498;1;1;1;1
"infrastructure";1;0,29;0,342;0,495;1;1;0,374;1;1;1;1;1;0,553
"influence";1;1;1;1;1;1;0,25;0,116;1;0,317;0,057;1;1
"group";1;1;0,026;0,63;0,135;1;1;1;0,016;1;1;1;1
"generate";1;0;0,566;1;1;1;1;0,369;1;1;1;0,498;1
"feel";1;0,498;0,051;1;1;1;1;0,369;0;1;1;1;1
"effect";0,257;0,396;0,457;0,63;1;1;1;0,282;1;1;1;1;0,694
"drive";0,339;0,034;0,566;1;0,192;1;1;0,013;1;1;1;1;1
"diverse";1;1;1;1;1;1;0,374;0,197;0,29;0,025;1;1;1
"discussion";1;0,185;1;1;1;0,154;1;0,116;0,185;1;1;1;1
"difficult";1;0,396;0,457;0,07;1;1;1;0,282;0,396;1;1;1;1
"critique";1;1;1;0,032;1;1;1;1;1;1;0;1;0,553
"criticism";1;1;1;0;1;1;0,493;1;1;1;1;1;1
"constantly";0,339;1;1;1;1;1;1;1;1;0,004;1;0;1
"conduct";0,257;1;0,457;1;1;0,346;0,493;0,282;1;0,586;1;1;1
"commitment";1;1;1;1;1;1;1;0;0,016;1;1;1;1
"combination";1;1;0,457;0,63;0,135;1;1;1;1;1;0,17;0,016;1
"break";1;1;1;1;1;0,154;1;1;1;1;1;0;1
"bear";1;1;1;1;1;1;0,132;0,05;1;0,178;1;1;1
"archival";1;0,498;1;0,753;0,192;0,441;0,605;1;1;0,705;1;0,498;1
"aim";1;1;0,342;1;1;0;1;1;1;1;1;1;0,553
"aid";1;0,29;0,342;0,032;1;1;1;0,197;1;1;1;1;1
"academia";1;1;0,457;0,07;1;1;1;1;0,396;0,586;1;1;0,694
"www";1;1;1;0,07;1;1;1;1;1;0,586;0;1;1
"video";1;1;1;0;1;1;1;1;0,29;1;1;1;1
"university";1;1;1;0;1;1;1;1;1;1;1;1;1
"sociology";1;1;0;0,495;1;1;1;1;1;1;1;1;1
"shift";1;1;1;0,35;1;1;0,25;0,116;0,185;1;1;1;1
"service";1;1;1;1;1;1;1;1;0,185;0,008;1;1;0,399
"scientist";1;0,185;1;1;0,041;1;0,25;0,116;1;1;1;1;1
"scale";1;0,29;0,01;1;1;0,248;1;1;0,29;1;1;1;1
"right";1;1;0,01;0,032;1;1;1;0,197;1;1;1;1;1
"rethink";1;1;1;1;1;0,248;1;1;0,29;0,455;1;0,006;1
"quantitative";0,257;1;0,457;0,002;1;1;1;1;0,396;1;1;1;1
"opinion";1;1;1;0,032;1;0,248;0,374;1;0,29;1;1;1;1
"multiple";0,257;0,396;0,457;1;1;0,346;1;0,282;1;0,586;1;1;1
"m";1;1;0,026;0,07;0,135;1;1;0,282;1;1;1;1;1
"lot";1;0,396;1;0,63;1;1;0,493;0,282;0,016;1;1;1;1
"live";1;1;0,226;1;0,041;1;0,25;0,116;1;1;1;1;1
"interactive";1;0,396;0,026;0,63;1;0,346;1;1;0,396;1;1;1;1
"interact";1;1;1;0,07;1;1;0,493;0,282;1;1;1;0,396;0,694
"institutional";1;1;1;1;1;1;1;0,002;0;1;1;1;1
