"";"classe 1";"classe 2";"classe 3"
"world";9,308;-0,063;-8,25
"literature";32,339;-4,036;-19,092
"communication";0,001;-2,025;0,758
"set";3,782;1,621;-7,543
"interdisciplinary";0,939;-1,899;-0,007
"resource";-4,379;-0,035;4,839
"learn";11,048;-1,652;-6,164
"change";1,235;5,624;-6,862
"ask";-4,934;96,201;-16,465
"creation";-0,406;-1,652;2,115
"concern";0,11;6,393;-3,782
"academic";0,54;-1,531;0,004
"process";5,514;0;-5,502
"language";31,079;-3,478;-18,924
"find";13,246;-1,293;-8,361
"base";-3,277;-0,235;4,448
"area";0,817;-3,064;0,048
"share";0,54;1,621;-2,383
"relate";0,54;-3,478;0,212
"open";-0,516;1,878;-0,026
"part";18,724;-3,064;-10,132
"focus";0,265;0,534;-0,957
"bring";7,132;-2,789;-2,521
"development";-0,305;-1,293;1,627
"technique";-3,8;-0,122;4,671
"support";5,871;-0,122;-4,774
"collaborative";-5,696;-2,926;12,008
"analyze";3,943;-1,061;-1,731
"theory";0,412;-0,041;-0,258
"student";5,145;-0,016;-4,73
"problem";0,703;-2,245;0,015
"present";1,766;0,174;-2,521
"umbrella";12,709;-2,789;-6,134
"time";14,534;-2,245;-8,022
"public";4,943;-0,077;-4,13
"network";5,407;-2,245;-1,834
"enhance";-0,023;-2,245;1,231
"challenge";8,593;-2,653;-3,51
"write";12,251;-0,002;-11,916
"researcher";0,286;-0,259;-0,043
"production";3,236;-0,016;-2,918
"kind";11;0,002;-11,055
"idea";7,958;-2,245;-3,411
"experience";2,471;-0,629;-1,115
"enable";-4,435;0,259;3,127
"age";0,703;0,665;-1,834
"often";-0,421;-0,529;1,231
"emerge";0,703;-2,245;0,015
"design";2,539;-2,11;-0,43
"creative";-0,201;-0,433;0,751
"content";1,166;-0,259;-0,56
"collaboration";-5,889;0,366;4,103
"technological";3,501;-1,976;-0,926
"read";6,216;0,205;-7,658
"print";2,332;0,057;-2,79
"perspective";-0,583;12,349;-2,208
"opportunity";-0,127;27,12;-8,837
"life";4,427;-0,433;-2,792
"impact";7,958;-0,529;-5,473
"access";0,016;0,5;-0,333
"view";7,371;-1,842;-3,356
"order";7,958;0,665;-11,055
"mode";-5,496;0,055;4,756
"environment";0,328;-0,433;-0,022
"communicate";0,117;-0,529;0,015
"broadly";9,767;-2,11;-4,746
"seek";-0,807;1,774;0,002
"result";-2,708;0,115;2,014
"online";11,917;-1,976;-6,419
"interpretation";0,054;15,765;-7,658
"digitally";4,028;-1,441;-1,509
"century";1,196;-1,308;-0,127
"wide";20,304;-1,976;-12,824
"source";-0,309;39,391;-11,953
"philosophy";20,304;-1,976;-12,824
"pattern";13,442;-1,308;-8,491
"offer";-0,464;5,783;-0,737
"nature";2,64;-0,259;-1,664
"mind";10,628;-0,259;-8,5
"electronic";11,792;-1,574;-6,822
"combine";-0,309;-0,259;0,77
"year";9,354;-0,183;-7,658
"space";7,371;-0,259;-5,634
"software";-0,807;-0,183;1,359
"simply";8,1;-1,574;-4,111
"publish";4,708;0,115;-5,634
"provide";9,354;-1,708;-4,864
"place";11,792;-1,574;-6,822
"modern";0;-0,259;0,112
"innovative";-4,799;-0,259;6,263
"expand";3,717;0,205;-4,864
"evolve";-0,309;0,115;0,112
"describe";2,64;-0,259;-1,664
"born";9,354;-1,708;-4,864
"transform";0,054;4,89;-2,701
"topic";-0,009;-1,574;0,8
"society";0,244;2,22;-2,083
"record";0,028;0,503;-0,382
"produce";3,017;-1,308;-0,992
"potential";-0,009;2,22;-0,737
"pedagogy";0,028;-1,441;0,362
"literary";14,807;-1,441;-9,352
"level";2,79;-1,574;-0,737
"large";5,665;-1,308;-2,674
"interaction";6,216;-1,708;-2,701
"future";0,054;-1,708;0,365
"english";16,175;-1,574;-10,217
"engagement";-0,807;1,774;0,002
"dissemination";-9,981;4,89;2,985
"condition";9,354;-0,183;-7,658
"web";-0,009;-1,574;0,8
"visualization";1,171;-0,115;-0,737
"variety";2,79;-1,574;-0,737
"specific";-5,979;2,22;2,187
"sense";14,807;-1,441;-9,352
"realm";1,196;-1,308;-0,127
"participate";10,461;-0,06;-9,352
"machine";3,017;-1,308;-0,992
"increase";0,203;-1,308;0,08
"heritage";6,868;-0,06;-5,994
"exploration";-1,126;-0,06;1,468
"day";0,203;3,454;-2,674
"context";0,608;2,769;-3,379
"broad";-0,009;11,019;-4,111
"attempt";0,162;-1,044;0,064
"aspect";-1,611;0,331;0,8
"archive";2,79;-1,574;-0,737
"analog";5,099;-1,574;-2,083
"technical";6,868;-1,441;-3,379
"represent";0,577;-0,912;-0,021
"relationship";6,868;-1,441;-3,379
"practitioner";0,608;-0,06;-0,382
"power";0,608;0,503;-1,509
"point";4,498;-1,176;-2,004
"investigate";-2,805;-0,06;3,318
"individual";4,498;-1,176;-2,004
"incorporate";0,008;-0,001;-0,005
"important";6,868;-1,441;-3,379
"image";10,461;-1,441;-5,994
"historian";0,594;-0,65;-0,063
"expression";1,942;-1,441;-0,382
"encompass";0,028;-0,06;0
"audience";6,868;0,503;-9,352
"advance";-1,126;-1,441;3,318
"value";13,442;-1,308;-8,491
"role";5,665;-1,308;-2,674
"program";0,008;-1,176;0,366
"preservation";-1,604;-0,001;1,634
"possibility";-0,698;0,736;0,08
"past";1,196;-0,02;-0,992
"long";3,017;-1,308;-0,992
"limit";3,381;-1,044;-1,381
"issue";6,537;-1,044;-3,568
"interpret";0,203;14,9;-8,491
"internet";0,203;-1,308;0,08
"inform";-2,187;-1,308;4,843
"increasingly";9,14;-0,02;-8,491
"great";0,008;17,527;-7,631
"facilitate";-4,503;-1,308;8,065
"exist";3,017;-0,02;-2,674
"examine";1,196;-1,308;-0,127
"education";-0,347;1,049;-0,005
"current";12,081;-1,176;-7,631
"cover";2,083;-1,176;-0,551
"corpus";0,203;3,454;-2,674
"contribute";3,017;-1,308;-0,992
"connect";12,081;-1,176;-7,631
"collection";4,498;-0,001;-4,364
"collaborate";9,14;-0,02;-8,491
"call";9,14;-0,02;-8,491
"big";10,724;-1,044;-6,774
"add";5,665;-0,02;-5,174
"user";10,724;-1,044;-6,774
"put";12,081;-1,176;-7,631
"pursuit";0,008;1,049;-0,551
"purpose";6,537;-1,044;-3,568
"publication";0,008;-0,001;-0,005
"presentation";-3,779;-1,176;6,891
"play";7,831;-1,176;-4,364
"model";2,083;-0,001;-2,004
"mine";6,537;0,009;-6,774
"methodological";7,831;-1,176;-4,364
"meet";2,332;0,057;-2,79
"investigation";-1,604;-0,001;1,634
"intersect";-3,779;-1,176;6,891
"insight";2,083;-1,176;-0,551
"http";-3,779;39,626;-4,364
"give";0,162;5,431;-3,568
"game";9,371;-0,912;-5,919
"excite";-0,347;1,049;-0,005
"encourage";-0,347;-1,176;1,634
"embrace";1,256;0,009;-1,381
"disseminate";-1,604;1,049;0,366
"contemporary";4,017;-0,781;-2,039
"case";1,383;-0,781;-0,366
"boundary";7,831;-1,176;-4,364
"book";6,675;-0,65;-4,216
"artifact";10,724;-1,044;-6,774
"analyse";-0,347;1,049;-0,005
"address";-3,068;-1,044;5,73
"act";2,083;-0,001;-2,004
"word";8,021;-0,781;-5,066
"type";0;-0,912;0,381
"traditionally";3,381;0,009;-3,568
"today";5,263;0,057;-5,919
"theoretical";5,263;-0,912;-2,79
"system";2,332;0,057;-2,79
"structure";2,332;-0,912;-0,824
"simple";-1,068;20,841;-3,568
"representation";0,577;-0,912;-0,021
"range";1,383;-0,781;-0,366
"pursue";-2,376;6,896;-0,021
"press";0,081;-0,519;0,032
"prefer";3,381;-1,044;-1,381
"praxis";2,813;-0,65;-1,328
"practical";0,162;-1,044;0,064
"platform";2,332;-0,912;-0,824
"physical";6,537;-1,044;-3,568
"paradigm";-0,1;0,009;0,064
"mediate";0,081;-0,519;0,032
"improve";-3,068;46,238;-6,774
"implication";6,537;-1,044;-3,568
"identify";5,263;-0,912;-2,79
"historical";-0,1;11,887;-3,568
"global";5,263;-0,912;-2,79
"general";1,256;-1,044;-0,213
"full";6,537;-1,044;-3,568
"force";5,263;-0,912;-2,79
"extend";0,162;-1,044;0,064
"document";1,256;-1,044;-0,213
"academy";9,371;-0,912;-5,919
"ability";5,263;-0,912;-2,79
"utilize";-0,6;0,057;0,381
"unique";-0,018;0,365;-0,063
"undertake";0;0,057;-0,021
"ultimately";2,332;-0,912;-0,824
"turn";2,332;0,057;-2,79
"teacher";6,675;-0,65;-4,216
"task";5,263;-0,912;-2,79
"start";8,021;-0,781;-5,066
"separate";9,371;-0,912;-5,919
"remain";9,371;-0,912;-5,919
"reflection";2,332;-0,912;-0,824
"reflect";0,577;6,896;-5,919
"necessarily";-2,376;2,052;0,381
"music";5,263;-0,912;-2,79
"move";1,383;0,164;-2,039
"moment";0,081;5,911;-3,368
"matter";4,017;-0,781;-2,039
"link";2,332;0,057;-2,79
"lead";-0,6;14,591;-2,79
"intellectual";0,577;0,057;-0,824
"integrate";0,577;-0,912;-0,021
"institution";9,371;-0,912;-5,919
"infrastructure";0;-0,912;0,381
"influence";-1,086;0,365;0,422
"group";8,021;-0,781;-5,066
"generate";5,263;0,057;-5,919
"feel";9,371;-0,912;-5,919
"effect";1,383;-0,781;-0,366
"drive";5,263;-0,912;-2,79
"diverse";-0,018;-0,65;0,422
"discussion";1,681;-0,519;-0,687
"discuss";6,675;-0,65;-4,216
"difficult";9,371;-0,912;-5,919
"critique";-0,018;4,06;-1,328
"criticism";5,263;-0,912;-2,79
"constantly";-5,33;6,896;0,381
"conduct";-0,6;-0,912;1,904
"commitment";8,021;-0,781;-5,066
"combination";0;6,896;-2,79
"break";-0,23;8,891;-2,039
"bear";0,121;-0,781;0,048
"archival";0;0,057;-0,021
"aim";-2,376;-0,912;4,59
"aid";6,675;-0,65;-4,216
"academia";0,577;0,057;-0,824
"www";-0,23;8,891;-2,039
"video";4,017;-0,781;-2,039
"university";5,333;-0,519;-3,368
"sociology";6,675;-0,65;-4,216
"shift";0,594;-0,65;-0,063
"service";-0,531;-0,519;1,404
"scientist";1,681;-0,519;-0,687
"scale";2,813;-0,65;-1,328
"right";8,021;-0,781;-5,066
"rethink";-1,711;8,891;-0,366
"quantitative";4,017;-0,781;-2,039
"opinion";0,121;-0,781;0,048
"multiple";0,121;-0,781;0,048
"m";8,021;-0,781;-5,066
"lot";4,017;-0,781;-2,039
"live";2,813;-0,65;-1,328
"interactive";4,017;-0,781;-2,039
"interact";0,121;0,164;-0,366
"institutional";6,675;-0,65;-4,216
"ict";-3,797;-0,65;6,011
"good";0,594;0,365;-1,328
"goal";8,021;-0,781;-5,066
"evolution";-3,797;-0,65;6,011
"epistemological";2,813;-0,65;-1,328
"engineer";0,081;-0,519;0,032
"emergent";-0,018;-0,65;0,422
"embody";0,121;0,164;-0,366
"edition";5,333;-0,519;-3,368
"easily";0,121;-0,781;0,048
"distinguish";6,675;-0,65;-4,216
"discover";-0,23;-0,781;1,085
"department";5,333;-0,519;-3,368
"critically";4,017;-0,781;-2,039
"core";0,121;-0,781;0,048
"convergence";8,021;-0,781;-5,066
"component";-0,23;2,867;-0,366
"complex";-0,018;11,733;-4,216
"complete";0,121;0,164;-0,366
"code";8,021;-0,781;-5,066
"borrow";1,681;-0,519;-0,687
"bite";4,017;-0,781;-2,039
"benefit";-1,711;0,164;1,085
"begin";5,333;-0,519;-3,368
"advantage";-0,23;0,164;0,048
"writer";6,675;-0,65;-4,216
"website";-0,018;4,06;-1,328
"visualize";2,813;-0,65;-1,328
"visual";1,681;-0,519;-0,687
"vague";5,333;-0,519;-3,368
"understanding";-0,115;1,428;-0,182
"uncover";-0,115;-0,389;0,54
"transformation";0,594;0,365;-1,328
"tradition";-1,086;11,733;-1,328
"theorize";0,594;-0,65;-0,063
"textual";0,594;-0,65;-0,063
"synthesis";-1,086;0,365;0,422
"subset";0,594;0,365;-1,328
"stuff";6,675;-0,65;-4,216
"skill";6,675;-0,65;-4,216
"short";6,675;-0,65;-4,216
"relevant";-0,018;4,06;-1,328
"refer";2,813;0,365;-4,216
"real";0,594;0,365;-1,328
"promote";-0,018;-0,65;0,422
"previously";2,813;0,365;-4,216
"powerful";0,594;-0,65;-0,063
"pedagogical";-1,086;0,365;0,422
"outcome";0,594;-0,65;-0,063
"organize";2,813;0,365;-4,216
"ongoing";-0,531;-0,519;1,404
"norm";6,675;-0,65;-4,216
"movement";0,594;0,365;-1,328
"literacy";6,675;-0,65;-4,216
"librarian";2,813;-0,65;-1,328
"liberal";-1,086;-0,65;2,405
"leave";2,813;0,365;-4,216
"late";-0,531;5,911;-0,687
"largely";1,681;-0,519;-0,687
"interconnect";-1,086;-0,65;2,405
"integration";-3,797;0,365;2,405
"innovation";6,675;-0,65;-4,216
"informatics";0,081;-0,519;0,032
"imply";-3,797;-0,65;6,011
"imagine";-1,086;0,365;0,422
"huge";2,813;-0,65;-1,328
"hard";5,333;-0,519;-3,368
"gather";-1,086;-0,65;2,405
"gain";6,675;-0,65;-4,216
"function";-0,115;-0,389;0,54
"foster";-0,115;-0,389;0,54
"finding";-1,086;0,365;0,422
"extension";0,594;0,365;-1,328
"expertise";-0,018;-0,65;0,422
"essentially";0,594;0,365;-1,328
"endeavor";-0,531;-0,519;1,404
"encode";6,675;-0,65;-4,216
"educational";1,681;-0,519;-0,687
"discourse";6,675;-0,65;-4,216
"disciplinary";-0,018;-0,65;0,422
"digitize";-0,531;-0,519;1,404
"determine";2,813;-0,65;-1,328
"depend";6,675;-0,65;-4,216
"deep";6,675;-0,65;-4,216
"database";2,813;-0,65;-1,328
"cross";0,594;-0,65;-0,063
"connection";2,813;-0,65;-1,328
"concept";1,681;-0,519;-0,687
"conceive";0,594;0,365;-1,328
"computation";0,594;0,365;-1,328
"common";2,813;0,365;-4,216
"commit";2,813;-0,65;-1,328
"collect";5,333;-0,519;-3,368
"classroom";0,689;1,428;-2,523
"capability";0,594;-0,65;-0,063
"blog";-1,086;11,733;-1,328
"basic";0,594;-0,65;-0,063
"back";-0,018;0,365;-0,063
"assist";-1,086;-0,65;2,405
"array";0,594;0,365;-1,328
"affordances";0,594;-0,65;-0,063
"accessible";2,813;-0,65;-1,328
"21st";-0,018;-0,65;0,422
"willingness";1,681;-0,519;-0,687
"transfer";1,681;0,732;-3,368
"thinker";5,333;-0,519;-3,368
"theorise";-0,115;1,428;-0,182
"tell";1,681;0,732;-3,368
"strong";0,081;-0,519;0,032
"storage";0,081;-0,519;0,032
"state";0,081;0,732;-0,687
"special";0,689;-0,389;-0,182
"solve";-0,115;-0,389;0,54
"situate";-2,272;1,428;0,54
"shape";-0,115;1,428;-0,182
"rich";3,994;-0,389;-2,523
"respond";0,081;0,732;-0,687
"relation";0,081;0,732;-0,687
"reflexive";-3,033;-0,519;4,802
"redefine";-0,531;5,911;-0,687
"quest";0,081;0,732;-0,687
"qualitative";0,689;-0,389;-0,182
"professional";1,681;-0,519;-0,687
"productive";-0,115;1,428;-0,182
"problematic";5,333;-0,519;-3,368
"principle";5,333;-0,519;-3,368
"preserve";-3,033;0,732;1,404
"pose";-3,033;31,17;-3,368
"portion";5,333;-0,519;-3,368
"political";3,994;-0,389;-2,523
"phenomenon";-0,531;-0,519;1,404
"personal";3,994;-0,389;-2,523
"perform";5,333;-0,519;-3,368
"participant";5,333;-0,519;-3,368
"numb";5,333;-0,519;-3,368
"multimedia";5,333;-0,519;-3,368
"multi";5,333;-0,519;-3,368
"merge";5,333;-0,519;-3,368
"meaning";0,081;-0,519;0,032
"mark";5,333;-0,519;-3,368
"manipulate";-0,531;0,732;0,032
"management";5,333;-0,519;-3,368
"main";0,081;0,732;-0,687
"light";-3,033;0,732;1,404
"library";5,333;-0,519;-3,368
"lens";-0,531;-0,519;1,404
"label";-0,531;-0,519;1,404
"interrogate";-2,272;9,08;-0,182
"interface";-0,531;0,732;0,032
"incorporation";-0,531;5,911;-0,687
"impossible";0,081;-0,519;0,032
"importantly";1,681;-0,519;-0,687
"hold";0,081;-0,519;0,032
"hide";5,333;-0,519;-3,368
"happen";5,333;-0,519;-3,368
"grow";-0,531;-0,519;1,404
"fun";-0,115;-0,389;0,54
"framework";1,681;-0,519;-0,687
"format";-0,115;1,428;-0,182
"foreground";0,081;-0,519;0,032
"folk";3,994;-0,389;-2,523
"fiction";3,994;-0,389;-2,523
"fall";1,681;-0,519;-0,687
"event";5,333;-0,519;-3,368
"emergence";-0,531;-0,519;1,404
"effort";5,333;-0,519;-3,368
"easy";-3,033;-0,519;4,802
"dynamic";1,681;0,732;-3,368
"distinct";-0,531;-0,519;1,404
"discovery";-0,531;-0,519;1,404
"deeply";5,333;-0,519;-3,368
"decade";1,681;-0,519;-0,687
"curation";0,081;-0,519;0,032
"creativity";0,081;-0,519;0,032
"conventional";-0,531;0,732;0,032
"consume";1,681;-0,519;-0,687
"consciously";-0,531;-0,519;1,404
"claim";0,689;-0,389;-0,182
"center";5,333;-0,519;-3,368
"carry";1,681;0,732;-3,368
"capacity";3,994;-0,389;-2,523
"body";3,994;-0,389;-2,523
"blogs";1,681;0,732;-3,368
"augment";-0,531;0,732;0,032
"animal";3,994;-0,389;-2,523
"adopt";-0,531;0,732;0,032
"xml";3,994;-0,389;-2,523
"wall";0,689;1,428;-2,523
"utilization";-2,272;1,428;0,54
"universal";0,689;-0,389;-0,182
"ubiquitous";3,994;-0,389;-2,523
"typically";-0,115;-0,389;0,54
"trend";0,689;-0,389;-0,182
"transmission";3,994;-0,389;-2,523
"thoughtful";-0,115;1,428;-0,182
"theoretically";-2,272;-0,389;3,597
"terras";3,994;-0,389;-2,523
"talk";0,689;-0,389;-0,182
"tackle";3,994;-0,389;-2,523
"sustainability";3,994;-0,389;-2,523
"suggest";0,689;1,428;-2,523
"stand";0,689;1,428;-2,523
"spirit";0,689;-0,389;-0,182
"sphere";3,994;-0,389;-2,523
"sound";0,689;-0,389;-0,182
"sort";0,689;-0,389;-0,182
"solution";-0,115;-0,389;0,54
"scope";-0,115;-0,389;0,54
"rubric";3,994;-0,389;-2,523
"require";-0,115;-0,389;0,54
"remix";-0,115;1,428;-0,182
"recent";3,994;-0,389;-2,523
"readily";0,689;-0,389;-0,182
"reader";3,994;-0,389;-2,523
"reach";0,689;1,428;-2,523
"radically";0,689;1,428;-2,523
"pull";0,689;-0,389;-0,182
"procedure";-0,115;-0,389;0,54
"primarily";0,689;-0,389;-0,182
"pretty";3,994;-0,389;-2,523
"potentially";0,689;-0,389;-0,182
"position";3,994;-0,389;-2,523
"personally";3,994;-0,389;-2,523
"perceive";-2,272;1,428;0,54
"participation";0,689;-0,389;-0,182
"outreach";-2,272;1,428;0,54
"organization";0,689;-0,389;-0,182
"openness";0,689;-0,389;-0,182
"observe";3,994;-0,389;-2,523
"numerous";3,994;-0,389;-2,523
"note";-0,115;-0,389;0,54
"natural";-0,115;-0,389;0,54
"matthew";3,994;-0,389;-2,523
"materiality";0,689;-0,389;-0,182
"manner";-0,115;-0,389;0,54
"local";3,994;-0,389;-2,523
"linguistics";3,994;-0,389;-2,523
"leverage";0,689;-0,389;-0,182
"landscape";0,689;-0,389;-0,182
"key";-0,115;-0,389;0,54
"journal";3,994;-0,389;-2,523
"interpretive";3,994;-0,389;-2,523
"interdisciplinarity";-2,272;-0,389;3,597
"integral";0,689;-0,389;-0,182
"inside";0,689;-0,389;-0,182
"inquire";-0,115;-0,389;0,54
"hope";0,689;-0,389;-0,182
"historically";-0,115;9,08;-2,523
"harness";0,689;1,428;-2,523
"gold";3,994;-0,389;-2,523
"gis";3,994;-0,389;-2,523
"german";0,689;-0,389;-0,182
"generally";-0,115;-0,389;0,54
"fundamentally";0,689;-0,389;-0,182
"forward";0,689;-0,389;-0,182
"formulate";-0,115;1,428;-0,182
"formal";0,689;-0,389;-0,182
"fine";3,994;-0,389;-2,523
"figure";-0,115;9,08;-2,523
"fast";-0,115;-0,389;0,54
"familiar";0,689;1,428;-2,523
"fair";3,994;-0,389;-2,523
"fail";0,689;-0,389;-0,182
"fact";3,994;-0,389;-2,523
"experimentation";3,994;-0,389;-2,523
"evidence";0,689;1,428;-2,523
"evaluation";-0,115;-0,389;0,54
"establish";-0,115;-0,389;0,54
"era";0,689;-0,389;-0,182
"endeavour";3,994;-0,389;-2,523
"employ";-2,272;-0,389;3,597
"embed";-0,115;-0,389;0,54
"efficiency";0,689;-0,389;-0,182
"effective";-0,115;9,08;-2,523
"distribute";-0,115;9,08;-2,523
"distant";0,689;1,428;-2,523
"differently";3,994;-0,389;-2,523
"difference";0,689;1,428;-2,523
"dialogue";0,689;-0,389;-0,182
"developer";-2,272;-0,389;3,597
"designer";3,994;-0,389;-2,523
"derive";-0,115;-0,389;0,54
"dependent";0,689;-0,389;-0,182
"democratization";0,689;1,428;-2,523
"cut";3,994;-0,389;-2,523
"crossroad";-0,115;1,428;-0,182
"craft";-0,115;1,428;-0,182
"continue";0,689;-0,389;-0,182
"consideration";-0,115;-0,389;0,54
"conservative";3,994;-0,389;-2,523
"conscious";-0,115;1,428;-0,182
"colleague";0,689;-0,389;-0,182
"collaboratively";0,689;-0,389;-0,182
"capture";-0,115;1,428;-0,182
"branch";3,994;-0,389;-2,523
"brain";0,689;-0,389;-0,182
"belief";3,994;-0,389;-2,523
"bad";-0,115;-0,389;0,54
"aware";-0,115;1,428;-0,182
"argument";3,994;-0,389;-2,523
"anymore";-0,115;-0,389;0,54
"anthropology";3,994;-0,389;-2,523
"amount";-0,115;-0,389;0,54
"alongside";-0,115;1,428;-0,182
"algorithm";-0,115;-0,389;0,54
"al";0,689;-0,389;-0,182
"afford";-0,115;1,428;-0,182
"active";-0,115;1,428;-0,182
"acknowledge";-0,115;1,428;-0,182
"achieve";0,689;-0,389;-0,182
"accessibility";-2,272;-0,389;3,597
"the";0,136;-0,5;0,007
"and";-0,036;0,266;-0,02
"of";0,868;-0,347;-0,302
"to";9,383;6,763;-22,148
"a";34,552;0,061;-36,004
"in";3,197;-2,438;-0,608
"is";12,388;0,643;-16,086
"as";35,502;-1,969;-25,263
"that";30,599;-1,801;-21,541
"i";36,076;-0,154;-32,715
"for";15,905;-0,326;-12,956
"new";-0,028;9,537;-3,259
"it";26,842;-0,388;-22,584
"with";6,869;0,247;-8,542
"or";10,115;-6,781;-2,244
"are";10,94;-2,187;-5,491
"on";8,241;-0,067;-7,23
"use";-4,38;-1,509;8,21
"be";19,023;-1,045;-13,561
"not";9,905;-1,117;-6,018
"an";16,931;-0,337;-13,832
"using";0,532;0,075;-0,81
"we";35,304;-0,906;-28,072
"by";4,574;-1,688;-1,679
"about";9,103;0,044;-9,814
"but";9,826;-0,296;-7,663
"from";13,996;-0,118;-12,243
"make";4,766;-1,454;-1,959
"can";9,114;0,477;-11,849
"our";8,438;0,556;-11,314
"my";11,814;-0,247;-9,605
"this";13,602;-0,031;-12,633
"more";12,608;0,349;-15,265
"which";5,596;1,43;-9,706
"me";7,664;0,477;-10,196
"at";10,952;-2,905;-4,843
"what";20,664;-0,182;-18,031
"through";0,848;-0,906;-0,094
"also";7,71;-2,667;-2,947
"do";11,447;-0,772;-7,851
"how";4,93;0,017;-5,249
"have";16,761;0,179;-18,832
"all";4,93;0,35;-6,683
"these";0,027;-0,894;0,196
"one";5,026;0,118;-5,994
"just";12,124;0,296;-14,508
"into";1,979;0,079;-2,49
"their";9,259;-1,841;-4,657
"other";19,346;-1,615;-12,675
"its";3,631;-0,032;-3,166
"who";10,806;-2,799;-4,836
"between";3,639;-0,808;-1,747
"us";3,002;7,409;-11,98
"within";2,437;-0,004;-2,288
"those";6,568;0,533;-9,083
"they";3,663;-0,139;-2,769
"would";5,28;-0,701;-3,06
"it_s";6,25;-1,899;-2,575
"both";0,018;-1,083;0,281
"any";0,583;-1,775;0,008
"so";7,342;-0,015;-6,844
"well";4,373;0,473;-6,341
"such";10,334;-2,151;-5,101
"has";13,838;-1,652;-8,274
"when";11,504;0,008;-11,764
"different";12,167;-0,528;-9,018
"if";7,571;0,417;-9,906
"you";7,958;-2,245;-3,411
"e";10,873;-2,926;-4,774
"some";4,943;-0,949;-2,521
"s";10,873;-0,122;-9,328
"doing";4,785;-0,175;-3,637
"used";5,514;-3,478;-1,306
"see";12,709;-0,949;-8,534
"i_m";6,118;0,259;-7,75
"don_t";6,118;-2,653;-2,011
"being";10,37;-1,293;-6,124
"where";1,235;-0,122;-0,776
"than";8,885;-1,411;-4,858
"something";12,709;-0,949;-8,534
"etc";13,52;-0,732;-9,661
"will";5,145;-0,016;-4,73
"very";1,766;-0,077;-1,307
"take";0,777;-0,949;-0,065
"may";0,412;-0,839;-0,003
"like";8,181;-1,061;-4,774
"help";0,777;-0,077;-0,488
"them";1,188;-0,002;-1,115
"still";8,593;-0,839;-5,423
"many";10,873;-1,061;-6,862
"know";18,558;-2,245;-11,055
"possible";0,016;-0,002;-0,01
"only";0,37;-0,002;-0,333
"much";4,219;-0,629;-2,357
"most";3,236;-0,732;-1,541
"g";11,917;-1,976;-6,419
"there";9,109;-0,629;-6,218
"own";3,347;0,002;-3,411
"out";21,307;-0,732;-16,335
"allow";1,767;0,366;-2,918
"2";0,739;-0,016;-0,6
"old";-0,201;6,348;-1,354
"could";6,432;-0,629;-4,058
"because";6,837;0,019;-7,215
"1";2,539;-0,433;-1,354
"should";8,556;-0,343;-6,419
"now";5,407;-0,529;-3,411
"been";2,64;4,143;-8,5
"while";4,427;0,019;-4,746
"whether";0,636;-1,708;0,002
"uses";-0,023;-2,245;1,231
