"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"collaborative";-2,227;31,004;-2,662;-0,561;-0,235;-1,225;-0,277
"analyze";-1,357;4,721;-3,947;-3,437;0;13,142;-0,002
"theory";-0,133;9,599;-3,577;-3,115;3,974;-1,646;-0,172
"student";-0,081;0,002;-3,393;-1,06;0,115;16,721;-0,099
"problem";-1,623;0,067;-1,94;-1,689;0,635;1,903;2,349
"present";0,391;-3,172;-0,126;0,313;1,506;0,488;-0,532
"umbrella";-2,838;-3,556;-1,407;0,122;2,398;24,789;-0,834
"time";-2,531;-1,21;-1,097;-2,635;19,52;12,362;-3,974
"public";-0,133;0,337;-3,577;-1,193;0,05;32,039;-2,507
"network";-2,379;1,164;-2,844;-0,679;-1,553;31,668;0
"enhance";-2,379;1,164;3,53;-0,679;0,005;-1,308;0
"challenge";-2,838;-1,539;-1,407;-0,116;7,604;-1,561;4,331
"write";-0,041;-1,373;-3,209;-2,795;23,091;-0,091;-0,044
"researcher";-0,208;3,024;-2,12;-1,846;-0,786;0,016;4,321
"production";-0,081;-1,539;-0,281;-0,116;0,115;5,334;0,081
"kind";-0,013;-1,21;-3,026;-2,635;0,347;0,488;9,383
"idea";-2,531;-1,21;-1,097;-0,028;6,268;-1,392;3,237
"experience";-0,395;1,91;-2,481;-2,16;-0,14;9,374;0,078
"enable";0,172;15,371;-1,407;-0,116;-4,323;-1,561;0,081
"age";1,298;-0,603;-2,3;-2,003;11,43;-1,058;-0,088
"often";-0,611;15,091;-2,844;-0,679;0,527;-1,308;-0,397
"emerge";-2,379;-0,105;-2,844;8,547;0,005;-1,308;1,75
"design";-2,075;8,292;-2,481;-2,16;1,058;-1,141;0,95
"creative";-0,5;-0,05;-2,662;9,725;-1,353;-0,012;0,669
"content";-0,395;4,541;-2,481;-2,16;0,107;0,993;0,078
"collaboration";0,172;6,918;-1,407;2,987;-2,174;-1,561;-0,834
"technological";-2,227;3,798;-2,662;-2,318;0,037;3,565;0,669
"read";0,088;-2,411;-2,3;-0,343;1,436;-1,058;6,686
"print";0,087;-1,101;-1,05;-0,915;9,635;-0,483;-0,014
"perspective";10,361;-0,05;-0,802;-0,561;-3,392;-1,225;2,219
"opportunity";23,303;-0,26;-3,209;-2,795;-0,026;0,374;-0,678
"life";-0,065;-1,846;-1,761;-1,534;-0,449;2,359;11,543
"impact";-0,726;-1,21;-3,026;-0,028;-1,757;-1,392;31,266
"access";0,548;-0,105;0,205;-0,679;-1,553;7,428;-0,397
"view";-2,075;-0,746;-0,662;-0,449;0,107;0,993;5,591
"order";0,548;-2,981;-2,844;-2,476;-0,347;-1,308;27,342
"mode";0,006;3,798;-0,802;5,499;-1,353;-1,225;-1,435
"environment";-0,297;2,411;-0,529;-0,343;-2,93;1,238;1,31
"communicate";0;-0,052;-1,405;-1,223;0,26;10,726;-0,196
"broadly";-1,924;-2,411;0,004;-0,343;0,222;-1,058;10,931
"seek";1,298;9,644;-2,3;-2,003;-0,969;-1,058;0,18
"result";0,307;-0,34;-0,288;5,3;-2,472;0,047;-0,001
"online";-2,075;-0,746;-2,481;-2,16;2,994;4,118;2,788
"interpretation";13,437;-2,411;-2,3;-0,343;0,222;1,238;-1,035
"digitally";-1,623;0,067;-1,94;-0,159;15,647;-0,893;-0,663
"century";-0,878;-1,101;-1,05;-0,915;0,948;0,761;3,963
"wide";-1,773;-2,222;-2,12;-1,846;8,39;0,016;4,321
"source";34,438;-2,6;-2,481;-2,16;-1,158;0,993;-0,172
"philosophy";-2,227;-2,79;-2,662;-2,318;-3,392;-1,225;67,378
"pattern";-1,473;-1,846;-1,761;-1,534;6,97;2,359;0,881
"offer";4,716;0,868;-0,403;-1,846;-0,017;1,536;-2,784
"nature";-0,297;0;-2,3;-0,343;-0,066;-1,058;10,931
"mind";-0,395;-0,746;-2,481;-2,16;-0,14;-1,141;26,464
"electronic";-1,773;-2,222;-2,12;-0,246;-0,786;5,537;12,8
"combine";-0,395;19,158;-2,481;-2,16;-3,161;-1,141;2,788
"year";-0,129;-2,034;-1,94;-1,689;22,518;-0,893;-0,001
"space";-0,395;-2,6;-0,662;-0,449;0,107;16,763;0,078
"software";-0,129;13,177;-1,94;-1,689;-0,612;6,46;-2,548
"simply";-1,773;0,015;-2,12;-1,846;4,579;1,536;0,336
"publish";0,034;-0,746;-2,481;-0,449;1,058;4,118;0,078
"provide";-1,924;-0,603;-2,3;-0,343;-0,969;4,767;10,931
"place";-1,773;-2,222;-2,12;-0,246;19,447;-0,975;0,336
"modern";-0,395;8,292;-2,481;-0,449;-1,158;-1,141;2,788
"innovative";-0,065;0,166;0,22;6,434;-0,449;-0,81;-2,313
"expand";0,088;-0,603;-0,529;-2,003;1,436;1,238;0,18
"evolve";0,034;-2,6;-2,481;17,061;-0,14;-1,141;0,078
"describe";-0,395;-2,6;-0,003;0,017;2,994;0,993;-0,172
"born";-1,924;-0,603;-0,529;-2,003;3,709;0,002;3,479
"transform";3,926;-0,603;0,004;-2,003;-0,066;1,238;-0,088
"topic";-1,773;6,485;-2,12;0,135;-2,701;-0,975;4,321
"society";3,521;-0,128;-0,098;-0,032;-2,016;0,185;0,081
"record";0,307;0,067;-0,288;-0,159;-2,472;-0,893;5,358
"produce";-1,473;0,166;-1,761;-0,087;0,025;2,359;0,881
"potential";2,156;3,782;-1,94;-1,689;-0,612;-0,893;0,563
"pedagogy";-1,175;-0,052;0,671;4,221;-1,79;0,309;-0,196
"literary";-1,623;-2,034;-1,94;-1,689;-2,472;-0,893;49,107
"level";-1,324;0,328;-0,098;-0,032;-0,301;-0,728;4,048
"large";-1,473;-0,226;-0,184;-1,534;6,97;0,101;0,014
"interaction";-1,623;0,067;-1,94;-0,159;0,635;-0,893;5,358
"future";-1,324;27,285;-1,583;-1,378;-2,016;-0,728;0,081
"english";-1,473;-1,846;-1,761;-1,534;-2,244;-0,81;44,575
"engagement";1,679;-0,467;-2,12;4,379;-0,786;-0,975;0,336
"dissemination";3,926;2,411;-0,529;3,622;-2,93;-1,058;-3,02
"condition";-0,208;-2,222;-0,403;-1,846;-2,701;20,978;4,321
"web";-1,175;3,042;-1,405;-1,223;-1,79;10,726;0,223
"visualization";-0,208;3,024;-2,12;-1,846;-0,017;1,536;0,336
"variety";-1,324;-1,659;-0,098;3,269;-0,301;-0,728;4,048
"specific";4,512;0,575;-0,033;-0,003;-1,79;-0,646;-0,196
"sense";-1,324;-1,659;-1,583;-1,378;30,843;-0,728;-0,334
"realm";-1,473;0,166;-0,184;-0,087;0,025;-0,81;3,091
"participate";-0,129;-2,034;-1,94;-1,689;0,635;6,46;2,349
"machine";-1,026;-1,286;-0,001;-1,069;-1,563;-0,565;21,12
"increase";-1,473;1,666;-1,761;0,421;-2,244;0,101;3,091
"heritage";-0,02;-1,659;-0,098;-1,378;-0,301;0,185;8,268
"exploration";-0,065;-1,846;0,22;6,434;-0,449;0,101;-0,491
"day";2,756;-1,846;-0,184;-0,087;6,97;-0,81;-2,313
"context";2,156;-2,034;-1,94;0,251;5,646;-0,893;-0,663
"broad";9,287;-0,467;-0,403;-1,846;-0,786;-0,975;1,767
"attempt";-1,026;-1,286;-0,001;1,481;-1,563;0,491;2,766
"aspect";0,176;17,317;-2,12;-1,846;-0,786;0,016;-0,845
"archive";-1,473;1,666;-0,184;-1,534;0,025;2,359;0,014
"analog";-1,773;0,015;-0,403;-1,846;0,393;20,978;-0,845
"technical";-1,473;-0,226;-1,761;-0,087;0,97;7,583;0,014
"represent";-0,878;-1,101;0,017;0,067;4,157;0,761;-1,379
"relationship";-1,623;-2,034;-1,94;0,251;-0,612;1,903;9,59
"practitioner";-0,129;3,782;-1,94;-1,689;0;0,047;0,563
"power";0,307;0,067;-0,288;-1,689;-2,472;0,047;5,358
"point";-1,175;-0,052;-1,405;-0,003;5,559;3,669;-1,844
"investigate";0,245;0,082;0,109;-0,761;-1,113;1,17;0,007
"individual";-1,175;0,575;-1,405;-1,223;-0,171;3,669;1,924
"incorporate";-0,02;-0,128;-1,583;3,269;0,105;-0,728;0,081
"important";-1,324;-0,128;-1,583;-0,032;4,272;-0,728;1,319
"image";-1,473;-1,846;-1,761;-1,534;-0,449;26,932;3,091
"historian";-0,731;0,082;0,109;-0,761;1,63;1,17;-1,148
"expression";-1,324;-0,128;-1,583;-0,032;4,272;8,972;-2,078
"encompass";-0,065;-0,226;0,22;-0,087;0,025;-0,81;0,881
"audience";0,493;-1,846;-1,761;-1,534;3,285;2,359;0,014
"advance";-1,473;-0,226;-1,761;19,571;-2,244;0,101;0,014
"value";-1,473;-1,846;-1,761;-1,534;6,97;-0,81;6,645
"role";-1,473;-0,226;-1,761;-0,087;6,97;-0,81;0,881
"program";-1,175;3,042;-1,405;-0,003;2,056;0,309;-1,844
"preservation";-0,02;18,432;-1,583;-1,378;-2,016;0,185;-0,334
"possibility";0,493;1,666;-0,184;-0,087;-2,244;0,101;0,014
"past";0,245;0,082;0,109;-0,761;-1,113;7,827;-1,148
"long";-1,324;0,328;-1,583;-1,378;0,105;0,185;4,048
"limit";-1,175;-0,052;-1,405;-0,003;-0,171;-0,646;10,351
"issue";-1,175;-0,052;-1,405;-1,223;-0,171;3,669;5,3
"interpret";12,788;-1,846;-1,761;-1,534;0,97;0,101;-0,491
"internet";-1,324;2,258;-0,098;-1,378;-2,016;18,302;-0,334
"inform";-1,324;-1,659;12,042;0,663;0,105;-0,728;-2,078
"increasingly";0;-1,472;-1,405;-1,223;5,559;-0,646;1,924
"great";15,166;-1,659;-1,583;-1,378;0,105;-0,728;0,081
"facilitate";-1,473;15,525;0,22;-0,087;-2,244;-0,81;-0,491
"exist";-0,065;-0,226;-0,184;-1,534;0,025;-0,81;6,645
"examine";-1,324;5,919;-1,583;-1,378;-2,016;0,185;4,048
"education";0,752;-1,659;-1,583;7,852;0,105;0,185;-2,078
"current";-1,175;-1,472;-1,405;-1,223;2,056;-0,646;10,351
"cover";-1,026;-0,007;-1,227;1,481;-1,563;0,491;2,766
"corpus";4,512;-1,472;-1,405;-1,223;-1,79;-0,646;10,351
"contribute";-1,175;-0,052;-1,405;-1,223;0,26;0,309;5,3
"connect";-0,731;-0,916;-0,874;-0,761;1,63;1,17;1,534
"collection";0;-1,472;-1,405;-1,223;-0,171;35,932;-0,196
"collaborate";-0,02;-1,659;-1,583;-1,378;-2,016;88,54;-2,078
"call";-0,065;-1,846;-1,761;-1,534;18,45;0,101;-0,491
"big";-1,175;-1,472;-1,405;-1,223;17,686;3,669;-1,844
"add";-0,065;-1,846;-1,761;-0,087;6,97;2,359;-0,491
"user";-0,878;-1,101;-1,05;-0,915;0,948;5,954;0,875
"put";-1,324;-1,659;-1,583;-1,378;21,921;-0,728;0,081
"pursuit";0,752;-1,659;-0,098;0,663;-2,016;-0,728;4,048
"purpose";-1,026;-1,286;-1,227;-1,069;2,925;-0,565;6,973
"publication";-0,02;-0,128;-1,583;3,269;-0,301;2,932;-0,334
"presentation";-1,175;0,575;-1,405;17,319;-1,79;0,309;-1,844
"play";-1,324;-0,128;-1,583;-1,378;4,272;0,185;1,319
"model";0,553;-0,732;0,334;-0,608;-0,889;-0,321;2,634
"mine";0;-1,472;-1,405;-1,223;-0,171;3,669;5,3
"methodological";-1,324;-1,659;-0,098;-1,378;4,272;2,932;0,081
"meet";0,017;-0,007;-1,227;-1,069;2,925;0,491;-0,085
"investigation";-0,02;-1,659;2,493;3,269;-0,301;-0,728;-0,334
"intersect";-0,584;0,286;-0,698;4,801;-0,889;-0,321;0,111
"insight";-1,026;-0,007;-1,227;-1,069;0,523;0,491;2,766
"http";34,956;-1,659;-1,583;-0,032;-0,301;-0,728;-2,078
"give";4,512;-0,052;-1,405;-1,223;-1,79;-0,646;5,3
"game";-1,026;-1,286;-1,227;-1,069;-0,069;-0,565;21,12
"excite";2,337;-1,101;-1,05;0,067;-0,008;0,761;-0,014
"encourage";-1,324;18,432;-1,583;-1,378;-2,016;-0,728;1,319
"embrace";0;0,575;-1,405;-1,223;2,056;0,309;-0,196
"disseminate";0,752;11,31;-1,583;-1,378;0,105;-0,728;-2,078
"contemporary";-0,584;-0,732;-0,698;0,498;0,129;-0,321;2,634
"case";-0,878;0,008;-1,05;0,067;4,157;-0,483;-0,014
"boundary";-1,026;-0,007;-1,227;-1,069;2,925;0,491;0,47
"book";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"artifact";-1,026;-1,286;-1,227;-1,069;-0,069;0,491;13,091
"analyse";3,401;-0,916;-0,874;-0,761;-1,113;-0,402;5,728
"address";-0,584;10,987;-0,698;-0,608;-0,889;-0,321;0,111
"act";-0,02;-1,659;0,401;-1,378;1,428;0,185;0,081
"word";-0,878;-1,101;-1,05;-0,915;0,948;5,954;0,875
"type";-0,731;0,082;0,109;-0,761;0,012;-0,402;1,534
"traditionally";0;-0,052;-1,405;-1,223;-1,79;-0,646;17,076
"today";0,087;-1,101;-1,05;-0,915;-1,338;16,061;0,875
"theoretical";-1,026;-0,007;-1,227;-1,069;7,275;-0,565;0,47
"system";0,017;-0,007;-1,227;-1,069;-1,563;-0,565;13,091
"structure";-0,731;-0,916;-0,874;-0,761;1,63;1,17;1,534
"simple";18,173;-0,052;-1,405;-1,223;-0,171;0,309;-1,844
"representation";-1,026;-0,007;-1,227;1,481;7,275;-0,565;-1,611
"range";-0,731;-0,916;-0,874;0,209;0,012;7,827;0,007
"pursue";5,827;0,945;-0,001;-1,069;-1,563;-0,565;-0,085
"press";-0,584;0,286;-0,698;0,498;0,129;-0,321;0,111
"prefer";-1,175;-0,052;-0,033;-1,223;-1,79;-0,646;17,076
"praxis";-0,584;-0,732;-0,698;-0,608;8,79;-0,321;0,111
"practical";-0,878;0,008;0,017;-0,915;0,948;0,761;-0,014
"platform";-0,731;-0,916;-0,874;0,209;-1,113;1,17;5,728
"physical";-0,878;0,008;-1,05;-0,915;0,948;5,954;-0,014
"paradigm";0,087;-1,101;0,017;0,067;-1,338;-0,483;3,963
"mediate";-0,584;0,286;0,334;-0,608;0,129;-0,321;0,111
"improve";40,981;-1,472;-1,405;-1,223;-0,171;-0,646;-1,844
"implication";-1,175;-1,472;-1,405;-0,003;0,26;35,932;-1,844
"identify";-1,026;-0,007;-1,227;-1,069;21,819;-0,565;-1,611
"historical";10,199;-0,052;-1,405;-1,223;-1,79;-0,646;1,924
"global";-0,584;-0,732;0,334;-0,608;-0,889;-0,321;8,486
"general";-0,878;0,008;-1,05;-0,915;4,157;0,761;-0,014
"full";-1,175;-1,472;-1,405;-0,003;0,26;-0,646;10,351
"force";-1,026;-0,007;-1,227;-1,069;2,925;4,637;-0,085
"extend";-0,878;-1,101;-1,05;2,17;-1,338;-0,483;9,276
"document";-1,175;-0,052;-1,405;1,002;-0,171;0,309;1,924
"academy";-1,026;-1,286;-1,227;-1,069;2,925;-0,565;6,973
"ability";-1,026;-1,286;-0,001;-1,069;-1,563;0,491;13,091
"utilize";0,087;1,498;-1,05;0,067;-0,008;-0,483;-0,014
"unique";0,245;2,345;-0,874;-0,761;0,012;-0,402;0,007
"undertake";0,087;0,008;-1,05;0,067;-0,008;0,761;-0,014
"ultimately";-1,026;0,945;-1,227;-1,069;2,925;-0,565;0,47
"turn";0,017;-1,286;-1,227;0,008;0,523;0,491;0,47
"teacher";-0,731;-0,916;-0,874;-0,761;-1,113;38,807;0,007
"task";-0,878;-1,101;-1,05;-0,915;0,948;5,954;0,875
"start";-0,878;-1,101;-1,05;-0,915;-1,338;-0,483;26,582
"separate";-1,026;-1,286;-1,227;-1,069;2,925;25,586;-1,611
"remain";-1,026;-1,286;-1,227;-1,069;21,819;-0,565;-0,085
"reflection";-1,026;-1,286;-0,001;0,008;-0,069;13,002;-0,085
"reflect";5,827;-1,286;-1,227;-1,069;-0,069;-0,565;2,766
"necessarily";1,617;4,102;-1,227;0,008;-0,069;-0,565;-1,611
"music";-1,026;-1,286;-0,001;-1,069;-0,069;-0,565;13,091
"move";0,087;-1,101;-1,05;0,067;0,948;-0,483;0,875
"moment";5,069;-0,732;-0,698;-0,608;0,129;1,823;-0,917
"matter";-0,878;-1,101;0,017;-0,915;0,948;0,761;0,875
"link";0,017;-0,007;-1,227;-1,069;-1,563;4,637;2,766
"lead";12,647;-1,286;-1,227;0,008;-1,563;-0,565;0,47
"intellectual";0,087;-1,101;0,017;-0,915;-1,338;-0,483;9,276
"integrate";-0,878;1,498;-1,05;-0,915;9,635;-0,483;-1,379
"institution";-1,026;-1,286;-1,227;-1,069;0,523;-0,565;13,091
"infrastructure";-0,731;0,082;0,109;-0,761;-1,113;1,17;1,534
"influence";0,245;0,082;-0,874;3,193;0,012;-0,402;-1,148
"group";-0,878;-1,101;-1,05;-0,915;4,157;-0,483;3,963
"generate";0,017;-1,286;-1,227;-1,069;-0,069;25,586;-0,085
"feel";-1,026;-1,286;-1,227;-1,069;7,275;0,491;0,47
"effect";-0,731;-0,916;0,109;-0,761;0,012;1,17;1,534
"drive";-0,878;-1,101;-1,05;-0,915;4,157;5,954;-0,014
"diverse";-0,731;0,082;-0,874;3,193;1,63;-0,402;-1,148
"discussion";-0,584;0,286;-0,698;-0,608;2,763;1,823;-0,917
"difficult";-0,878;-1,101;-1,05;-0,915;0,948;0,761;3,963
"critique";3,401;-0,916;0,109;-0,761;-1,113;-0,402;1,534
"criticism";-0,878;0,008;-1,05;-0,915;-1,338;-0,483;16,816
"constantly";7,626;-1,101;-1,05;7,223;-1,338;-0,483;-1,379
"conduct";-0,878;1,498;-1,05;2,17;-0,008;-0,483;-0,014
"commitment";-0,878;-1,101;-1,05;-0,915;27,398;-0,483;-1,379
"combination";5,827;-1,286;-1,227;0,008;-0,069;-0,565;0,47
"break";14,13;0,286;-0,698;-0,608;-0,889;-0,321;-0,917
"bear";-0,878;0,008;0,017;0,067;4,157;-0,483;-1,379
"archival";0,017;0,945;-1,227;0,008;-0,069;0,491;-0,085
"aim";-0,878;5,573;1,654;-0,915;-1,338;-0,483;-0,014
"aid";-0,731;-0,916;-0,874;-0,761;0,012;1,17;5,728
"academia";0,017;-1,286;-0,001;0,008;-0,069;-0,565;2,766
"www";7,626;-1,101;-1,05;0,067;-1,338;-0,483;0,875
"video";-0,878;-1,101;-1,05;0,067;-0,008;-0,483;9,276
"university";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"sociology";-0,731;-0,916;-0,874;-0,761;-1,113;-0,402;22,118
"shift";-0,731;0,082;-0,874;0,209;1,63;-0,402;0,007
"service";-0,584;-0,732;0,334;4,801;0,129;-0,321;-0,917
"scientist";-0,584;0,286;-0,698;-0,608;2,763;1,823;-0,917
"scale";-0,731;0,082;-0,874;-0,761;0,012;1,17;1,534
"right";-0,731;-0,916;-0,874;-0,761;0,012;-0,402;12,589
"rethink";7,626;0,008;-1,05;0,067;-0,008;-0,483;-1,379
"quantitative";-0,731;-0,916;-0,874;-0,761;0,012;-0,402;12,589
"opinion";-0,731;2,345;-0,874;-0,761;0,012;-0,402;1,534
"multiple";-0,731;0,082;-0,874;0,209;0,012;1,17;0,007
"m";-0,878;-1,101;-1,05;-0,915;0,948;-0,483;9,276
"lot";-0,878;0,008;-1,05;-0,915;4,157;0,761;-0,014
"live";-0,584;0,286;-0,698;-0,608;2,763;-0,321;0,111
"interactive";-0,878;0,008;-1,05;-0,915;-0,008;0,761;3,963
"interact";0,087;0,008;0,017;-0,915;-0,008;-0,483;0,875
"institutional";-0,731;-0,916;-0,874;-0,761;22,797;-0,402;-1,148
"ict";-0,437;-0,548;6,441;1,08;-0,666;-0,241;-0,686
"good";0,245;-0,916;0,109;-0,761;0,012;-0,402;1,534
"goal";-0,878;-1,101;-1,05;-0,915;9,635;-0,483;0,875
"evolution";-0,731;-0,916;2,544;9,711;-1,113;-0,402;-1,148
"epistemological";-0,584;-0,732;-0,698;-0,608;0,129;1,823;2,634
"engineer";-0,437;0,746;-0,523;-0,455;-0,666;2,963;0,436
"emergent";-0,584;0,286;-0,698;0,498;-0,889;-0,321;2,634
"embody";0,245;-0,916;-0,874;3,193;0,012;-0,402;0,007
"edition";-0,584;-0,732;-0,698;-0,608;18,21;-0,321;-0,917
"easily";-0,878;0,008;1,654;-0,915;-0,008;0,761;-0,014
"distinguish";-0,731;-0,916;-0,874;-0,761;5,967;-0,402;1,534
"discover";-0,584;-0,732;0,334;0,498;0,129;-0,321;0,111
"department";-0,584;-0,732;-0,698;-0,608;-0,889;-0,321;17,668
"critically";-0,878;0,008;-1,05;-0,915;0,948;-0,483;3,963
"core";-0,878;0,008;-1,05;2,17;-1,338;0,761;0,875
"convergence";-0,731;-0,916;-0,874;-0,761;-1,113;1,17;12,589
"component";2,337;-1,101;1,654;-0,915;-1,338;-0,483;0,875
"complex";10,2;-0,916;-0,874;-0,761;0,012;-0,402;0,007
"complete";0,087;1,498;-1,05;-0,915;-0,008;-0,483;0,875
"code";-0,878;-1,101;-1,05;-0,915;4,157;5,954;-0,014
