"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"unique";0,621;0,126;1;1;0,912;1;0,933
"undertake";0,767;0,93;1;0,796;1;0,383;1
"ultimately";1;0,331;1;1;0,087;1;0,493
"turn";0,897;1;1;0,927;0,469;0,483;0,493
"teacher";1;1;1;1;1;0;0,933
"task";1;1;1;1;0,33;0,015;0,349
"start";1;1;1;1;1;1;0
"separate";1;1;1;1;0,087;0;1
"remain";1;1;1;1;0;1;1
"reflection";1;1;1;0,927;1;0;1
"reflect";0,016;1;1;1;1;1;0,096
"necessarily";0,204;0,043;1;0,927;1;1;1
"music";1;1;1;1;1;1;0
"move";0,767;1;1;0,796;0,33;1;0,349
"moment";0,024;1;1;1;0,719;0,177;1
"matter";1;1;0,896;1;0,33;0,383;0,349
"link";0,897;1;1;1;1;0,031;0,096
"lead";0;1;1;0,927;1;1;0,493
"intellectual";0,767;1;0,896;1;1;1;0,002
"integrate";1;0,221;1;1;0,002;1;1
"institution";1;1;1;1;0,469;1;0
"infrastructure";1;0,774;0,741;1;1;0,279;0,216
"influence";0,621;0,774;1;0,074;0,912;1;1
"group";1;1;1;1;0,041;1;0,047
"generate";0,897;1;1;1;1;0;1
"feel";1;1;1;1;0,007;0,483;0,493
"effect";1;1;0,741;1;0,912;0,279;0,216
"drive";1;1;1;1;0,041;0,015;1
"diverse";1;0,774;1;0,074;0,202;1;1
"discussion";1;0,593;1;1;0,096;0,177;1
"difficult";1;1;1;1;0,33;0,383;0,047
"critique";0,065;1;0,741;1;1;1;0,216
"criticism";1;0,93;1;1;1;1;0
"constantly";0,006;1;1;0,007;1;1;1
"conduct";1;0,221;1;0,141;1;1;1
"commitment";1;1;1;1;0;1;1
"combination";0,016;1;1;0,927;1;1;0,493
"break";0;0,593;1;1;1;1;1
"bear";1;0,93;0,896;0,796;0,041;1;1
"archival";0,897;0,331;1;0,927;1;0,483;1
"aim";1;0,018;0,198;1;1;1;1
"aid";1;1;1;1;0,912;0,279;0,017
"academia";0,897;1;1;0,927;1;1;0,096
"www";0,006;1;1;0,796;1;1;0,349
"video";1;1;1;0,796;1;1;0,002
"university";1;1;1;1;1;1;0
"sociology";1;1;1;1;1;1;0
"shift";1;0,774;1;0,648;0,202;1;0,933
"service";1;1;0,564;0,028;0,719;1;1
"scientist";1;0,593;1;1;0,096;0,177;1
"scale";1;0,774;1;1;0,912;0,279;0,216
"right";1;1;1;1;0,912;1;0
"rethink";0,006;0,93;1;0,796;1;1;1
"quantitative";1;1;1;1;0,912;1;0
"opinion";1;0,126;1;1;0,912;1;0,216
"multiple";1;0,774;1;0,648;0,912;0,279;0,933
"m";1;1;1;1;0,33;1;0,002
"lot";1;0,93;1;1;0,041;0,383;1
"live";1;0,593;1;1;0,096;1;0,739
"interactive";1;0,93;1;1;1;0,383;0,047
"interact";0,767;0,93;0,896;1;1;1;0,349
"institutional";1;1;1;1;0;1;1
"ict";1;1;0,011;0,299;1;1;1
"good";0,621;1;0,741;1;0,912;1;0,216
"goal";1;1;1;1;0,002;1;0,349
"evolution";1;1;0,111;0,002;1;1;1
"epistemological";1;1;1;1;0,719;0,177;0,105
"engineer";1;0,388;1;1;1;0,085;0,509
"emergent";1;0,593;1;0,48;1;1;0,105
"embody";0,621;1;1;0,074;0,912;1;0,933
"edition";1;1;1;1;0;1;1
"easily";1;0,93;0,198;1;1;0,383;1
"distinguish";1;1;1;1;0,015;1;0,216
"discover";1;1;0,564;0,48;0,719;1;0,739
"department";1;1;1;1;1;1;0
"critically";1;0,93;1;1;0,33;1;0,047
"core";1;0,93;1;0,141;1;0,383;0,349
"convergence";1;1;1;1;1;0,279;0
"component";0,126;1;0,198;1;1;1;0,349
"complex";0,001;1;1;1;0,912;1;0,933
"complete";0,767;0,221;1;1;1;1;0,349
"code";1;1;1;1;0,041;0,015;1
"borrow";1;1;1;1;0;1;1
"bite";1;0,93;1;1;0;1;1
"benefit";0,767;0,221;0,896;0,796;1;1;1
"begin";1;1;1;1;1;1;0
"advantage";0,767;0,93;0,896;0,796;1;1;0,349
"writer";1;1;1;1;0,015;1;0,216
"website";0,065;1;1;0,648;0,912;1;0,933
"visualize";1;0,593;1;1;0,719;0,001;1
"visual";1;0,593;1;1;1;1;0,004
"vague";1;1;1;1;0,096;1;0,105
"understanding";0,281;0,388;1;1;1;1;0,509
"transformation";0,621;0,774;1;1;0,202;0,279;1
"tradition";0;1;1;1;1;1;0,739
"theorize";1;1;0,564;0,48;1;0,177;0,739
"textual";1;0,774;1;0,648;1;0,279;0,216
"synthesis";0,457;1;1;0,028;1;1;0,739
"subset";0,621;0,774;1;1;0,015;1;1
"stuff";1;1;1;1;0,029;1;0,509
"skill";1;1;1;1;1;0,279;0
"short";1;1;1;1;0,912;1;0
"relevant";0,065;0,774;1;1;0,202;1;1
"refer";0,621;1;1;1;0,202;1;0,216
"real";0,621;0,774;1;1;0,202;0,279;1
"promote";1;0,593;1;0,48;0,719;0,177;1
"previously";0,621;1;1;1;1;0;1
"powerful";1;1;0,564;1;1;1;0,004
"pedagogical";0,621;0,126;1;0,648;1;1;0,933
"outcome";1;0,388;1;1;0,492;1;0,509
"organize";0,621;1;1;1;0,015;1;0,933
"ongoing";1;0,001;1;1;0,719;1;1
"norm";1;1;1;1;0;1;0,933
"movement";0,621;0,774;1;1;0,202;1;0,933
"literacy";1;1;1;1;0,202;1;0,017
"librarian";1;0,774;1;1;0,015;0,279;1
"liberal";1;0,126;1;0,074;1;1;0,933
"leave";0,621;1;1;1;0,912;1;0,017
"late";0,024;1;1;0,48;1;0,177;1
"largely";1;1;1;0,48;0,096;1;0,739
"interconnect";1;0,388;1;0,299;1;0,085;1
"integration";0,457;0,593;1;0,028;1;1;1
"innovation";1;1;1;1;1;0,177;0,004
"informatics";1;0,593;1;0,48;0,719;1;0,739
"imply";1;0;1;1;1;1;1
"imagine";0,621;0,774;1;0,074;1;1;0,933
"huge";1;0,774;1;1;1;1;0
"hard";1;1;1;1;0;1;1
"gather";1;0,774;0,111;0,648;1;1;0,933
"gain";1;1;1;1;0,202;0,005;0,933
"function";1;0,388;0,364;1;1;0,085;1
"foster";1;0,388;0,364;1;0,492;1;1
"finding";0,621;0,006;1;1;1;0,279;1
"extension";0,621;1;1;0,648;1;0,279;0,216
"expertise";1;0,006;1;1;0,202;1;1
"essentially";0,457;1;1;1;0,003;1;1
"endeavor";1;0,593;1;0,028;1;0,177;1
"encode";1;1;1;1;1;0,279;0
"educational";1;1;1;0,48;1;0,177;0,105
"discourse";1;1;1;1;0,912;1;0
"disciplinary";1;0,388;1;0,299;0,492;1;1
"digitize";1;0,054;1;0,48;1;1;0,739
"determine";1;1;1;0,648;0,202;0,279;0,933
"depend";1;1;1;1;0;1;0,933
"deep";1;1;1;1;0;1;0,933
"database";1;0,593;1;1;1;1;0,004
"cross";1;0,593;1;0,48;1;1;0,105
"connection";1;1;1;0,648;1;0;0,933
"conceive";0,621;0,774;1;1;1;0,279;0,216
"computation";0,457;1;1;1;0,096;0,177;1
"common";0,621;1;1;1;0,202;0,279;0,933
"commit";1;0,774;1;1;0,912;0;1
"collect";1;1;1;1;0,096;0,001;1
"classroom";0,281;1;1;1;1;1;0,032
"capability";1;0,593;1;1;1;0,177;0,105
"blog";0,001;1;0,741;1;1;0,279;1
"basic";1;0,774;1;0,648;1;1;0,017
"back";0,621;1;1;0,074;1;1;0,216
"assist";1;0,054;1;0,48;0,719;1;1
"array";0,457;1;1;1;0,719;0,177;0,739
"affordances";1;0,774;0,741;1;0,202;1;0,933
"accessible";1;0,774;1;1;0,202;1;0,216
"willingness";1;0,593;1;1;0,719;0,177;0,739
"transfer";0,457;1;1;1;1;1;0,004
"thinker";1;1;1;1;1;0,177;0,004
"theorise";0,281;1;0,364;1;1;0,085;1
"tell";0,457;1;1;1;1;1;0,004
"strong";1;0,593;0,564;1;0,719;1;0,739
"storage";1;0,593;1;0,48;1;1;0,105
"state";0,457;0,593;1;1;0,719;1;0,739
"special";1;1;0,364;1;0,492;0,085;1
"solve";1;0,388;0,364;1;0,492;1;1
"shape";0,281;0,388;1;1;0,492;1;1
"rich";1;1;1;1;0,492;1;0,032
"respond";0,281;1;1;1;0,492;1;0,509
"relation";0,457;1;1;0,48;0,719;1;0,739
"reflexive";1;1;0,364;0,006;1;1;1
"redefine";0,005;1;1;1;1;0,085;1
"quest";0,457;1;0,564;1;0,719;0,177;1
"qualitative";1;1;1;0,299;1;1;0,032
"professional";1;0,593;1;1;0,719;1;0,105
"productive";0,281;1;1;0,299;1;1;0,509
"problematic";1;1;1;1;0;1;1
"principle";1;1;1;1;1;1;0
"preserve";0,281;1;0,364;0,299;1;1;1
"pose";0;1;1;1;1;1;1
"portion";1;1;1;1;0,096;1;0,105
"political";1;1;1;1;0,492;0,085;0,509
"phenomenon";1;1;0,047;0,48;1;1;0,739
"personal";1;1;1;1;0,029;1;0,509
"perform";1;1;1;1;1;1;0
"participant";1;1;1;1;0,719;0,177;0,105
"numb";1;1;1;1;0,096;0,177;0,739
"multi";1;1;1;1;0,029;1;0,509
"merge";1;1;1;1;0,719;1;0,004
"meaning";1;0,593;1;0,48;0,719;1;0,739
"mark";1;1;1;1;0,096;0,001;1
"manipulate";0,457;1;0,564;0,48;0,719;1;1
"management";1;1;1;1;0,492;0,085;0,509
"main";0,457;1;1;0,48;0,096;1;1
"light";0,281;0,014;1;1;1;1;1
"library";1;1;1;1;1;1;0
"lens";1;0,388;1;0,299;1;1;0,509
"label";1;0,593;0,564;0,48;0,719;1;1
"interface";0,457;0,593;1;0,48;1;1;0,739
"incorporation";0,024;1;0,564;1;0,719;1;1
"impossible";1;1;0,564;0,48;1;1;0,105
"importantly";1;1;0,564;1;0,096;0,177;1
"hide";1;1;1;1;0,719;0,177;0,105
"grow";1;0,001;1;1;1;1;0,739
"fun";1;1;0,364;0,299;0,492;1;1
"framework";1;1;1;0,48;0,096;1;0,739
"format";0,281;0,388;1;1;1;1;0,509
"foreground";1;1;0,564;0,48;1;1;0,105
"folk";1;1;1;1;0;1;1
"fiction";1;1;1;1;0,492;1;0,032
"fall";1;0,593;1;1;0,719;0,177;0,739
"event";1;1;1;1;0,003;0,177;1
"emergence";1;0,001;1;1;0,719;1;1
"effort";1;1;1;1;0,719;1;0,004
"easy";1;0,388;0,364;0,299;1;1;1
"dynamic";0,457;1;1;1;0,719;0,177;0,739
"discovery";1;0,054;0,564;1;0,719;1;1
"deeply";1;1;1;1;0,719;0,001;0,739
"decade";1;0,388;1;1;0,492;1;0,509
"curation";1;0,593;1;0,48;0,719;0,177;1
"creativity";1;1;1;0,028;1;0,177;0,739
"conventional";0,281;0,388;1;1;1;1;0,509
"consume";1;0,593;1;1;1;1;0,004
"consciously";1;0,014;1;1;0,492;1;1
"claim";1;0,388;1;1;0,492;1;0,509
"center";1;1;1;1;1;1;0
"carry";0,457;1;1;1;0,096;1;0,739
"capacity";1;1;1;1;1;0,085;0,032
"body";1;1;1;1;1;0,085;0,032
"blogs";0,457;1;1;1;0,719;1;0,105
"augment";0,457;0,593;0,564;1;0,719;1;1
"animal";1;1;1;1;0,492;0,085;0,509
"adopt";0,281;1;1;0,299;1;1;0,509
"xml";1;1;1;1;1;1;0
"wall";0,281;1;1;1;1;0,085;0,509
"utilization";0,281;0,014;1;1;1;1;1
"universal";1;1;1;0,299;1;1;0,032
"ubiquitous";1;1;1;1;1;0,085;0,032
"transmission";1;1;1;1;0,029;1;0,509
"thoughtful";0,281;0,388;1;1;1;1;0,509
"terras";1;1;1;1;0,029;1;0,509
"talk";1;1;1;0,299;1;1;0,032
"suggest";0,281;1;1;1;0,492;1;0,509
"stand";0,281;1;1;1;0,492;1;0,509
"spirit";1;1;1;0,299;0,492;1;0,509
"sphere";1;1;1;1;0,492;0;1
"sort";1;0,388;1;1;0,492;1;0,509
"scope";1;0,388;0,364;1;0,492;1;1
"rubric";1;1;1;1;0,492;1;0,032
"require";1;0,014;1;1;1;1;0,509
"remix";0,281;0,388;1;1;1;1;0,509
"recent";1;1;1;1;0,029;1;0,509
"reader";1;1;1;1;0,492;1;0,032
"reach";0,281;1;1;1;0,492;0,085;1
"radically";0,281;1;1;1;0,492;1;0,509
"pull";1;1;1;0,299;0,029;1;1
"procedure";1;0,388;0,364;1;1;1;0,509
"primarily";1;1;1;0,299;1;0,085;0,509
"pretty";1;1;1;1;0,029;1;0,509
"position";1;1;1;1;0,029;1;0,509
"personally";1;1;1;1;0;1;1
"perceive";0,281;0,388;1;0,299;1;1;1
"participation";1;1;0,364;1;1;1;0,032
"outreach";0,281;1;0,364;0,299;1;1;1
"organization";1;1;1;0,299;0,492;1;0,509
"openness";1;1;1;0,299;0,492;0,085;1
"observe";1;1;1;1;1;1;0
"numerous";1;1;1;1;0,492;1;0,032
"note";1;0,388;1;0,299;1;1;0,509
"natural";1;0,388;1;0,299;0,492;1;1
"matthew";1;1;1;1;0,492;1;0,032
"materiality";1;1;1;0,299;0,492;0,085;1
"linguistics";1;1;1;1;0,492;1;0,032
"leverage";1;0,388;1;1;1;1;0,032
"landscape";1;1;1;0,299;0,029;1;1
"key";1;0,388;1;0,299;1;1;0,509
"interpretive";1;1;1;1;0,029;0,085;1
"interdisciplinarity";1;0;1;1;1;1;1
"integral";1;1;0,364;1;0,492;1;0,509
"inside";1;1;1;0,299;1;1;0,032
"inquire";1;0,388;1;0,299;1;1;0,509
"hope";1;0,388;1;1;0,492;1;0,509
"historically";0,005;1;1;1;1;1;0,509
"harness";0,281;1;1;1;1;0,085;0,509
"gold";1;1;1;1;0,029;1;0,509
"gis";1;1;1;1;0,492;1;0,032
"german";1;1;1;0,299;0,492;1;0,509
"generally";1;1;1;0,006;1;1;0,509
"fundamentally";1;1;0,364;1;0,492;1;0,509
"forward";1;1;1;0,299;1;1;0,032
"formal";1;0,388;1;1;1;1;0,032
"fine";1;1;1;1;1;1;0
"figure";0,005;1;1;1;0,492;1;1
"fast";1;0,388;0,364;1;1;0,085;1
"familiar";0,281;1;1;1;0,492;1;0,509
"fair";1;1;1;1;0,492;1;0,032
"fact";1;1;1;1;0,492;1;0,032
"experimentation";1;1;1;1;0,492;0,085;0,509
