"";"";"";"";"humanity";""
"36";"communication";"0.325543318334721";"-0.193484835895815";"0.914876699812401";"304"
"37";"focus";"0.411610151827579";"0.0848465654906606";"0.913101799201003";"306"
"38";"production";"-0.234119488965114";"-0.330777516975256";"0.906921723578184";"311"
"39";"result";"1.34505820323173";"0.521157957914323";"0.906194655857853";"313"
"40";"discipline";"0.254287238805636";"-0.196230163620702";"0.898603213483801";"321"
"41";"involve";"0.328610868151851";"-0.42640094694569";"0.898410754381361";"322"
"42";"service";"1.63675255870254";"-0.193135058634799";"0.89552386784475";"323"
"43";"endeavor";"1.44129080341303";"0.188745731668989";"0.89552386784475";"327"
"44";"creativity";"0.482802393226787";"0.939507861000613";"0.89552386784475";"328"
"45";"content";"-0.296530133353552";"-0.281582218128261";"0.889963938218684";"348"
"46";"approach";"0.239855119167656";"0.472029721368067";"0.886884592579632";"350"
"47";"engagement";"0.914271308143272";"0.352832638922938";"0.886499674374751";"351"
"48";"researcher";"-0.347205555386651";"0.854431255879514";"0.885259382381244";"352"
"49";"represent";"-0.33018296392196";"-1.61386336315444";"0.88175234984788";"354"
"50";"area";"0.117047160203721";"0.991707842906235";"0.881688196813733";"355"
"51";"publish";"-0.733447485041397";"-0.750170025199174";"0.88091836040397";"357"
"52";"transform";"0.443003437139779";"-0.714080754640317";"0.876812566218568";"361"
"53";"technological";"-0.653027004879949";"-0.00290809469964487";"0.874075370094966";"363"
"54";"potential";"0.512484035737541";"0.103489441985966";"0.873733220579516";"364"
"55";"practitioner";"-0.212029699757619";"0.0451257165823109";"0.873733220579516";"365"
"56";"assist";"1.05155601313713";"-0.494865591617415";"0.872065241691696";"367"
"57";"discovery";"1.19912979143151";"-0.553840485980116";"0.872065241691696";"368"
"58";"enhance";"0.876613754417303";"0.305959417203547";"0.868344365711175";"370"
"59";"society";"0.981095501089445";"0.10392923799671";"0.868151906608735";"371"
"60";"website";"0.571385599951639";"-0.638575115767643";"0.865585785242858";"373"
"61";"investigation";"1.77888705188835";"0.306616729579109";"0.862763051740394";"375"
"62";"incorporate";"0.419843303927277";"0.0850371649767028";"0.862763051740394";"376"
"63";"publication";"0.553234720163081";"-0.194708435850541";"0.862763051740394";"377"
"64";"embody";"0.681263864708392";"-0.0516503332133019";"0.861137841542006";"381"
"65";"program";"0.0274074877030978";"-1.21859533540404";"0.857908805489945";"385"
"66";"visualization";"-0.318041837673336";"-0.0684457549750974";"0.857523887285063";"386"
"67";"function";"1.21575454194985";"-0.137430630644191";"0.856219442257409";"389"
"68";"special";"-0.117851507298774";"-1.31767421965375";"0.856219442257409";"390"
"69";"dialogue";"-0.0622300049651433";"0.863585541797973";"0.856219442257409";"392"
"70";"conscious";"1.32437261220261";"-0.875168316671215";"0.856219442257409";"393"
"71";"interconnect";"1.018989504224";"-0.0587974381605895";"0.856219442257409";"394"
"72";"primarily";"-0.258995042690994";"0.942218734281576";"0.856219442257409";"395"
"73";"openness";"-0.314616545024625";"-1.23904102717014";"0.856219442257409";"396"
"74";"engineer";"-0.550743554205015";"0.701748449384697";"0.856219442257409";"397"
"75";"cover";"-0.0339786013240805";"1.4848602340081";"0.852006726348429";"401"
"76";"importantly";"-0.630355875801027";"-1.8209472598807";"0.851942573314282";"402"
"77";"environment";"0.348070457797421";"0.821542116160016";"0.844415283974378";"408"
"78";"compute";"0.717748357623567";"0.393563304780576";"0.843944828390634";"409"
"79";"academic";"0.131733831262769";"-0.0657772520953745";"0.843153607636155";"410"
"80";"unique";"0.331165650891569";"-0.340214675089556";"0.843003917223146";"411"
"81";"pedagogical";"1.30637838734915";"0.512213649254304";"0.843003917223146";"413"
"82";"excite";"0.228792107501995";"-0.751767920157467";"0.842832842465421";"414"
"83";"component";"1.15209623901572";"0.635079965295511";"0.842832842465421";"415"
"84";"conduct";"0.818902379870291";"0.360820963080276";"0.839261656897909";"416"
"85";"theorize";"0.630376171521176";"0.880532966637912";"0.831841289281583";"418"
"86";"scholarship";"0.910747369752289";"-0.332203148526061";"0.829146861847413";"420"
"87";"easily";"0.462813330732092";"0.0275717158343938";"0.828227335024641";"421"
"88";"affordances";"-0.24106069126534";"-0.508615961431109";"0.827714110751465";"423"
"89";"infrastructure";"-0.0709490645528494";"1.20274678313092";"0.825661213658764";"425"
"90";"investigate";"0.761012505747804";"0.159494468049407";"0.817877312182272";"429"
"91";"understanding";"0.663582689775851";"0.473242872882234";"0.817727621769263";"430"
"92";"respond";"-0.67002335947277";"-0.707000716127321";"0.817727621769263";"432"
"93";"productive";"0.955331201289871";"0.713713157779112";"0.817727621769263";"433"
"94";"format";"0.663582689775851";"0.473242872882234";"0.817727621769263";"435"
"95";"conventional";"0.663582689775851";"0.473242872882234";"0.817727621769263";"436"
"96";"disciplinary";"0.791091628703475";"-0.729808917645584";"0.815952721157865";"442"
"97";"spirit";"-0.486892918211515";"0.271207254796581";"0.815952721157865";"444"
"98";"organization";"-0.486892918211515";"0.271207254796581";"0.815952721157865";"445"
"99";"encompass";"0.295817548739371";"0.35065482336823";"0.811697236559453";"447"
"100";"foster";"0.987856666429327";"-0.808442110129186";"0.810456944565946";"448"
"101";"solve";"0.987856666429327";"-0.808442110129186";"0.810456944565946";"449"
"102";"scope";"0.987856666429327";"-0.808442110129186";"0.810456944565946";"450"
"103";"fundamentally";"-0.290127880485664";"0.192574062312979";"0.810456944565946";"453"
"104";"efficiency";"-0.290127880485664";"0.192574062312979";"0.810456944565946";"454"
"105";"augment";"1.28059334412109";"-1.10714375050038";"0.804683171492725";"456"
"106";"discover";"0.459452764880786";"0.377274357024166";"0.803507032533365";"457"
"107";"label";"1.41794117506703";"-0.373487772307458";"0.803507032533365";"458"
"108";"mediate";"0.240641381245271";"0.196921643351507";"0.8";"459"
"109";"strong";"0.240641381245271";"0.196921643351507";"0.8";"460"
