instead;2;2;0;0;1;0;0
gives;1;0;0;0;1;1;2
given;0;1;0;0;2;0;2
everyone;0;1;0;0;2;1;0
et;0;0;0;1;1;0;2
doesn_t;2;0;0;0;1;0;2
d;1;0;0;0;1;0;1
asking;1;1;0;2;0;0;0
another;0;1;0;0;2;0;1
although;0;0;0;0;2;0;3
01;1;0;0;0;1;0;1
we_re;1;0;0;1;1;0;1
via;0;0;1;0;1;1;1
upon;0;1;0;0;1;0;1
therefore;1;0;0;1;0;0;1
sometimes;0;0;0;0;0;0;4
seem;0;0;0;0;2;0;2
probably;0;0;1;0;1;1;1
plus;0;0;0;0;2;0;1
maybe;1;0;0;0;1;1;1
going;0;0;0;0;1;0;3
far;3;1;0;0;0;0;0
currently;0;0;0;0;0;0;4
considering;1;0;1;0;0;0;2
co;0;1;0;0;2;1;0
again;1;0;0;0;2;1;0
actually;0;0;0;1;3;0;0
2009;1;0;0;0;0;1;2
0;0;1;0;0;1;0;1
whole;0;0;0;1;2;0;0
welcome;0;1;0;0;2;0;0
truly;0;0;0;1;2;0;0
toward;0;2;0;0;0;1;0
soon;0;1;0;0;1;0;1
second;0;1;0;1;0;0;1
particularly;0;0;0;1;1;1;0
outside;0;1;0;0;0;0;2
look;0;0;0;0;2;1;0
let;1;0;0;1;1;0;0
latter;0;0;1;0;0;2;0
isn_t;0;0;0;0;2;0;1
everything;0;1;0;0;0;1;1
entirely;0;0;0;0;1;1;1
enough;0;0;0;1;2;0;0
couldn_t;0;1;0;0;2;0;0
comes;0;0;0;1;2;0;0
com;3;0;0;0;0;0;0
certain;0;0;0;0;1;0;2
apart;0;1;0;0;2;0;0
already;0;0;0;0;2;1;0
almost;0;0;0;0;2;1;0
above;0;2;0;0;1;0;0
